target_size,total_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,trade_count,avg_win,avg_loss,profit_factor,max_single_loss,top20_loss_contribution,top50_loss_contribution,max_underwater_days,git_commit,checkpoint,data_file,oos_start,oos_end,commission,slippage,mc_sims,mc_seed,mc_return_p5,mc_return_p50,mc_return_p95,mc_dd_p5,mc_dd_p50,mc_dd_p95,mc_loss_probability,mc_dd30_probability
1.0,5.155353999205341,1.464124201722528,2.1317387537568697,-0.3296623158449559,0.47465437788018433,217,1230.6113395221796,-655.2853138841816,1.6967695086954424,-5149.157915510987,0.5071893445943986,0.8138310721168405,125.78125,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2000,2202,0.2887847282119892,4.218041410823352,24.050084998154567,-0.6466296474150453,-0.43128334441911614,-0.2897260700230581,0.027,0.934
0.5,1.7604321742426596,0.6551315456978981,1.870922171928012,-0.18158983270265305,0.47465437788018433,217,427.9664497967417,-230.78848060525598,1.6754364882898538,-1157.256826074803,0.46281593256764136,0.7830739409355824,96.38888888888889,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2000,2202,0.2561672779117426,1.5379650237879705,4.653998152634345,-0.3941998435013699,-0.24039697479848224,-0.15457698231068598,0.0185,0.2165
0.475,1.6375926332892985,0.6181622944766463,1.8562078344393227,-0.17343107546677083,0.47465437788018433,217,398.7048227914019,-215.22778859489136,1.6737304562507052,-1050.9171844055945,0.461721497768651,0.7818315291141884,96.38888888888889,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2000,2202,0.24816800068419034,1.4359016485141702,4.217933134715633,-0.37872132159016275,-0.22935925085072195,-0.14749847684387027,0.0185,0.1785
0.45,1.5188727426913649,0.581599222283391,1.8413805452935381,-0.16518511791051854,0.47465437788018433,217,370.3777456592134,-200.14654715210727,1.6719725965413423,-951.2259393231179,0.4606084519933071,0.780583940719508,96.38541666666667,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2000,2202,0.23955553345025357,1.3354099862301962,3.812431430240751,-0.3628540559272621,-0.21859040214586828,-0.14023901274459113,0.0175,0.1455
0.425,1.4042045044780287,0.5454502227013878,1.8264465253198483,-0.1568505285947958,0.47465437788018433,217,342.9683004193072,-185.53551678012005,1.6701646849101317,-857.899505190564,0.45947662107862525,0.7794638192344113,96.38541666666667,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2000,2202,0.22957906878657627,1.2379375601109448,3.435593011752229,-0.3464639812745302,-0.20753508614691796,-0.13284073755999154,0.017,0.1155
0.4,1.293517428275111,0.5097227872728185,1.811411957093625,-0.14842583688614333,0.47465437788018433,217,316.4592367486781,-171.38537681451575,1.6683085901202221,-777.896098723515,0.4583258387022873,0.7785134070851025,96.38541666666667,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2000,2202,0.21913827481638926,1.1431222415449387,3.08460658649641,-0.3296282670152204,-0.19642258896568926,-0.12535897061161533,0.017,0.0905
