class,count,sum_pnl,avg_pnl,max_loss,top10_loss_share,share_of_total_loss,share_of_max_dd_period,avg_bars_after_mfe_to_exit,avg_giveback_ratio
profit_giveback_to_loss,17,-357328.6943874144,-21019.33496396555,-107642.76290987968,0.07888727053415942,0.11625977607104562,0.07871010086983588,1287.9411764705883,1.413693953790707
immediate_adverse,13,-201843.06342219058,-15526.38949401466,-38382.31768156483,0.0,0.06567127052359176,0.7109133667532167,607.7692307692307,7.701211967418966
clean_loss,97,-2514364.99293257,-25921.28858693371,-333684.9960815287,0.9211127294658406,0.8180689534053628,0.21037653237694737,527.3814432989691,5.076921146447629
normal_winner,109,7322983.715411252,67183.33683863532,4.788244033688898,0.0,0.0,0.0,1012.2752293577981,0.5606113906848421
