avg_mae,avg_mfe,avg_trade_pnl,avg_trade_return,bucket,er_window,gross_loser,gross_winner,median_trade_pnl,median_trade_return,oos_trade_count,profit_factor,top20_winner_count,top20_winner_pnl,top20_winner_pnl_share,trade_count,trade_pnl_std,win_rate,worst20_loser_count,worst20_loser_loss,worst20_loser_loss_share
-0.06439681898089304,0.18553413856805642,16392.487351826876,0.05953431274546748,Q1,ER20,-429266.75062228605,1199713.6561581492,-690.0384291273622,-0.005811743505817408,16,2.794797534211503,3,643952.8877656086,0.1303748881298186,47,62871.25034389159,0.425531914893617,3,-186887.38708160992,0.1015505583937833
-0.036852846980442645,0.14109306594302,13019.81518024824,0.021380938007946684,Q2,ER20,-618567.0435712427,1230498.35704291,20.200317302334952,0.0009579597761924973,19,1.9892724157089512,2,813858.4626800122,0.16477402002743147,47,105976.10634843349,0.5106382978723404,5,-378526.17700284394,0.20568292618119322
-0.038441861526330036,0.11789789448078913,8413.301712457673,0.038268290738548524,Q3,ER20,-691768.7624094246,1087193.9428949351,-1365.6554053572763,-0.008256598940856424,23,1.5716146810507141,3,629697.1542668269,0.1274886681975482,47,69919.70211683055,0.425531914893617,5,-410474.8091953839,0.22304312094732406
-0.03105975694181525,0.11464455596831137,36081.86161915681,0.03537426446276025,Q4,ER20,-505993.7522448876,2201841.2483452577,308.74608281948167,0.008898125759417955,24,4.351518647367853,7,1588018.7946109038,0.3215107450078014,47,115929.93979240608,0.5106382978723404,3,-317567.537150583,0.17255932157314433
-0.03924609846655758,0.1122571257629854,16162.418105743112,0.028239067901126427,Q5,ER20,-827940.4418943349,1603736.5109700041,-204.34104327417026,-0.007987492044161491,21,1.937019174109482,5,1263712.8948803318,0.2558516786374004,48,120995.47186431574,0.4375,4,-546882.4396248829,0.2971640729045551
0.0,0.0,0.0,0.0,missing,ER20,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
-0.058988222996708424,0.22473031869955243,9630.291880789226,0.06749128834452174,Q1,ER50,-940528.8968696018,1393152.6152666954,1666.9889065336902,0.0019279960020532438,26,1.4812438191995785,6,975553.8270414486,0.19751091031901716,47,88650.14524768326,0.5319148936170213,6,-771829.9666329368,0.41939568699948176
-0.04431850549910158,0.08181061780746532,21211.718329664207,0.003000831783474519,Q2,ER50,-642350.4947890417,1639301.2562832595,-3684.5744068966887,-0.011192712353911305,17,2.5520354846486613,4,1221308.1690014042,0.24726640555659524,47,114746.43523217188,0.3829787234042553,5,-391856.460537774,0.212926313536855
-0.02622314146808244,0.12340453046098986,39029.97127338209,0.041306857435890146,Q3,ER50,-318521.9836322107,2152930.633481169,5268.834124774468,0.0074040982430750735,20,6.759127294545245,5,1525592.1499438556,0.308871828451302,47,115761.82333012878,0.5531914893617021,3,-188239.75288900663,0.10228540468297576
-0.047522559376720445,0.1480609261994112,5898.789358625545,0.05434804473429857,Q4,ER50,-675761.2955042995,953004.3953597001,-456.48052923888827,-0.009027722665886868,22,1.4102677997391118,2,266925.10171632457,0.054041733388379774,47,48964.53816168752,0.44680851063829785,5,-354104.51604348305,0.19241272455841715
-0.03307622740774091,0.09381281960172771,14337.93198069605,0.016891293564819877,Q5,ER50,-496374.0799470221,1184594.8150204325,-656.6112422673614,-0.005592733172729979,18,2.386496118304292,3,949860.9465006504,0.19230912228470584,48,105683.54043231117,0.3958333333333333,1,-134307.6539521031,0.0729798702222703
0.0,0.0,0.0,0.0,missing,ER50,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
-0.06823841681516338,0.2539379242362376,21106.720039610147,0.08459931219612125,Q1,ER100,-472351.19457139797,1464367.0364330749,-1808.0503501347266,-0.006284023114643824,20,3.1001658369083036,7,1130473.5444252049,0.22887600116144233,47,69356.57556380126,0.44680851063829785,5,-275147.7561858732,0.14950933135616326
-0.03951116091375427,0.10667713354443688,2341.3034200908573,0.02452458712141361,Q2,ER100,-901616.0022666524,1011657.2630109226,1017.9864546706667,0.0019279960020532438,21,1.1220489215670837,3,467675.1686073933,0.09468565006338855,47,75163.64470367572,0.5106382978723404,4,-640759.4841892268,0.34817482566179825
-0.03362521909499336,0.10339971013723652,-3668.787037373287,0.021158232491807153,Q3,ER100,-857569.0137742248,685136.0230176803,-3684.5744068966887,-0.009027722665886868,19,0.7989281469048722,2,307884.8557693902,0.062334457054892864,47,53345.491754557916,0.3404255319148936,6,-575703.3428148858,0.3128247274733939
-0.026395558065467055,0.08695393996363725,24289.17031313699,0.017342368717059388,Q4,ER100,-509318.0916518002,1650909.0963692386,528.8814636934749,0.0009579597761924973,24,3.2414106693423665,3,1004629.4828511364,0.20339757601383573,47,109283.4168707129,0.5106382978723404,4,-273110.6465767177,0.14840241011578686
-0.04216492530790835,0.12028721977747588,45379.83016879667,0.035027929466357945,Q5,ER100,-332682.4484781005,2510914.29658034,-24.615870997634374,0.00012315178428081724,19,7.547480512022341,5,2028577.1425505588,0.41070631570644056,48,147221.33634920762,0.5,1,-75617.12028860021,0.04108870539285771
0.0,0.0,0.0,0.0,missing,ER100,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
