baseline_pnl,entry_step,entry_time,pnl_lost,pnl_saved,realized_vol_bucket,realized_vol_percentile_at_entry,side,trade_id,v1_pnl,v1_size
-39797.68306126399,312729,2022-09-14 22:40:00,0.0,9515.827936531976,Q4,0.6681034482758621,long,84,-30281.855124732014,0.9248610445861846
-40958.318344077445,476820,2024-04-07 00:05:00,0.0,4461.856749221159,Q3,0.4482758620689655,long,132,-36496.461594856286,1.0
-41307.177395039704,514048,2024-08-14 06:25:00,0.0,9766.39343952731,Q4,0.7413793103448276,long,136,-31540.783955512394,0.8569161350022411
-51775.55798174837,531435,2024-10-13 15:20:00,0.0,4777.979738640599,Q1,0.11206896551724138,short,152,-46997.57824310777,1.0
-54210.9353360011,554868,2025-01-03 00:05:00,0.0,4992.580473711714,Q3,0.4267241379310345,long,159,-49218.35486228939,1.0
-39289.81258408725,562356,2025-01-29 00:05:00,0.0,4628.21536762442,Q4,0.6206896551724138,short,161,-34661.59721646283,0.9716915395542941
-107642.76290987968,599778,2025-06-07 22:35:00,0.0,8676.084594807005,Q3,0.4224137931034483,long,179,-98966.67831507267,1.0
-106639.25615344523,640404,2025-10-27 00:05:00,0.0,26820.548622056842,Q5,0.8060344827586207,long,186,-79818.70753138838,0.8141106320908871
-204304.39176057372,654541,2025-12-15 02:10:00,0.0,19729.261798385298,Q3,0.5646551724137931,long,194,-184575.12996218842,1.0
-42112.411833068356,663918,2026-01-16 15:35:00,0.0,4066.7104160431772,Q2,0.2629310344827586,short,198,-38045.70141702518,1.0
-132394.75720662205,664479,2026-01-18 14:20:00,0.0,12785.093864865135,Q2,0.2413793103448276,long,199,-119609.66334175691,1.0
-55662.69902890781,670116,2026-02-07 04:05:00,0.0,16387.11489895638,Q5,0.8405172413793104,long,202,-39275.58412995143,0.7810213597600038
-107210.95022560377,673329,2026-02-18 07:50:00,0.0,37055.01213097852,Q5,0.9008620689655172,long,206,-70155.93809462525,0.7265213603622303
-134307.6539521031,680265,2026-03-14 09:50:00,0.0,13145.463741867803,Q3,0.5818965517241379,short,213,-121162.1902102353,1.0
-333684.99608152965,687192,2026-04-07 11:05:00,0.0,32659.672685217112,Q3,0.4051724137931034,short,220,-301025.32339631254,1.0
-75617.12028860021,689818,2026-04-16 13:55:00,0.0,7401.0831383652985,Q2,0.2672413793103448,short,222,-68216.03715023492,1.0
-79703.20448626671,691407,2026-04-22 02:20:00,0.0,7801.011735776905,Q2,0.22413793103448276,long,223,-71902.1927504898,1.0
-83008.62608184712,699627,2026-05-20 15:20:00,0.0,8124.532387486193,Q1,0.06896551724137931,long,229,-74884.09369436093,1.0
-62972.413285859395,702222,2026-05-29 15:35:00,0.0,6163.472826965619,Q1,0.09913793103448276,long,231,-56808.940458893776,1.0
-47737.622058779,705375,2026-06-09 14:20:00,0.0,4672.356052920688,Q3,0.43103448275862066,short,234,-43065.26600585831,1.0
