data_file,dd_gate_pass,end_time,entry_lookback,full_return,max_dd,min_hold_bars,oos_positive,oos_return,oos_trade_count,oos_trades_per_year,passes_sanity,rolling12_min,rows,split_idx,split_ratio,split_time,start_time,symbol,trade_count,trades_per_year,window_days_from_filename
data\crypto\BTCUSDT_5m_1300d.parquet,True,2026-06-12 03:35:00,375,0.8832099402137132,-0.6318972571020878,432,True,0.4018693277151393,127,118.96792348656207,True,-0.4353979812507499,374314,262019,0.7,2025-05-18 05:45:00,2022-11-20 03:40:00,BTCUSDT,396,111.26106640242095,1300
data\crypto\SOLUSDT_5m_730d.parquet,True,2026-06-12 00:50:00,375,0.11701463569085369,-0.6935035004613024,432,True,0.23407814256512305,68,113.4127570515768,True,-0.5839238363203475,210240,147168,0.7,2025-11-05 00:55:00,2024-06-12 00:55:00,SOLUSDT,240,120.082762950737,730
