adverse_rate_144,adverse_rate_24,adverse_rate_288,adverse_rate_72,avg_delta,avg_giveback_capture_ratio,avg_lead_time_bars,avg_post_return_144,avg_post_return_24,avg_post_return_288,avg_post_return_72,direction,events,inside_bb_rate,positive_delta_rate,regime,tol_bp,top20_events,unique_trades
0.5182648401826484,0.49942987457240595,0.5097142857142857,0.507411630558723,-0.03256344544503304,-0.05210543532111976,2754.6716077537058,0.002809597632568771,0.0010879865260407537,0.0029566252602342023,0.0022452555191162958,long,877,0.037628278221208664,0.5792474344355758,BEAR,0,200,91
0.5198813056379822,0.50177304964539,0.5190023752969121,0.5200945626477541,-0.02090251340695815,-0.006505563134078349,2019.2966903073286,0.0015064089574633468,0.0008180162868409742,7.678559499544962e-05,0.0012585252934726526,long,1692,0.27364066193853426,0.6022458628841607,BEAR,50,326,91
0.5087924970691676,0.5615474794841735,0.48300117233294254,0.5463071512309496,0.0019430937152268876,0.013635657727917656,894.348182883939,0.0019203208556096464,-4.086625813261541e-05,0.004214045365119949,4.234710883309744e-06,short,853,0.031652989449003514,0.6096131301289566,BEAR,0,160,92
0.47045831032578683,0.5207067918277195,0.4649364991717283,0.5207067918277195,-0.002450452606082164,-0.015924541464837846,827.7526228602982,0.003197673495672841,0.0005307929502228113,0.005292022808296372,0.0013065045144025026,short,1811,0.23302043070127001,0.6062948647156268,BEAR,50,263,92
0.4702894870492636,0.5129507364144236,0.47536820721178263,0.5134586084306755,-0.2752651603105598,-0.4030759499188993,10435.786185881158,0.002427100498225278,0.00027717409931302025,0.005821496987134496,0.00035778788227032487,long,1969,0.046724225495175215,0.45606907059421026,BULL,0,639,26
0.49923076923076926,0.49923076923076926,0.498974358974359,0.5053846153846154,-0.22187842122054996,-0.29714420776362477,9549.450512820513,0.001838623034656049,0.0005903301195834794,0.0037597452328371416,0.0006007806444550697,long,3900,0.34794871794871796,0.5379487179487179,BULL,50,1239,26
0.5,0.6071428571428571,0.5535714285714286,0.5297619047619048,-0.0963523365315696,-0.15377709004162418,9281.636904761905,0.0009228213269062894,-0.00038652232697406483,-0.0008053538899314573,0.0007305019366216217,long,336,0.023809523809523808,0.5892857142857143,NEUTRAL,0,146,18
0.5023328149300156,0.5489891135303266,0.552099533437014,0.4976671850699845,-0.07813873018439699,-0.10011666351633418,8744.592534992224,0.0023949613808786105,0.0005182092730701304,0.002043391997994547,0.001864233259175823,long,643,0.26283048211508553,0.5800933125972006,NEUTRAL,50,286,19
0.5669099756690997,0.5474452554744526,0.5717761557177615,0.5085158150851582,0.030349593450056493,0.08192880998658955,3998.7493917274937,0.006054951062396482,0.0009556165267131512,0.010061584488318922,0.002009589799279826,short,411,0.046228710462287104,0.6009732360097324,NEUTRAL,0,66,22
0.5109114249037228,0.4980744544287548,0.5327342747111682,0.49037227214377405,0.020768647882542374,0.02347510130528004,3893.120667522465,0.005759018438204004,0.0015448367355061752,0.011130752520676834,0.0033832133595036403,short,779,0.2785622593068036,0.6354300385109114,NEUTRAL,50,95,21
