bar,bars_held,base_trade_entry_bar,base_trade_exit_bar,base_trade_pnl,base_trade_top20_winner,base_trade_winner,base_trade_worst20_loser,close,current_return,entry_bar,entry_price,lower_shadow_ratio_2h,macd_hist_2h,macd_hist_4h,oi_change_2h,oi_change_4h,reasons,side,time,upper_shadow_ratio_2h,variant,volume_ratio_1h,volume_ratio_2h,entry_notional,early_exit_pnl_proxy,delta_vs_base_pnl_proxy,exit_quality,saved_pnl_proxy,missed_pnl_proxy
2198,216,1982,2899,-52.4497206046708,False,False,False,182.81,0.0560055772529339,1982,173.114616,0.0305810397553498,1.2906614389237512,2.067772775092878,,,2h_upper_wick,long,2019-10-01 04:00:00,0.8501529051987744,2h_wick_r60_v1p5,2.741139182028035,3.3006243782211206,10000.0,560.0557725293389,612.5054931340097,saved_loser,612.5054931340097,0.0
4166,139,4027,5104,528.8814636934749,False,True,False,179.94,0.022007721389313,4027,176.065206,0.147679324894512,1.018906942772719,0.8279234149865703,,,2h_upper_wick,long,2019-10-08 00:00:00,0.7890295358649793,2h_wick_r60_v1p5,6.053139243840337,4.716920429964381,9726.737810762965,214.0633357661676,-314.8181279273073,missed_winner,0.0,314.8181279273073
5150,46,5104,6094,20.200317302334952,False,True,False,185.68,0.0001769172770358,5104,185.71285,0.6737288135593277,-1.0397279928227985,-0.1828399834258358,,,2h_lower_wick,short,2019-10-11 10:00:00,0.1313559322033916,2h_wick_r60_v1p5,0.5681981019762224,1.7479820239885375,10255.61927445644,1.8143962363527,-18.385921065982252,missed_winner,0.0,18.385921065982252
6662,51,6611,7835,72.55769383132247,False,True,False,174.08,0.0159962086397058,6611,176.86462,0.6345381526104444,-0.7593862934990092,-0.9023812928665134,,,2h_lower_wick,short,2019-10-16 16:00:00,0.2811244979919622,2h_wick_r60_v1p5,2.880294283062943,2.2359016966691487,9799.666542672423,156.7575106161325,84.19981678481003,improved_winner,84.19981678481003,0.0
9950,759,9191,10628,1124.774948054297,False,True,False,185.54,0.1307704932649556,9191,164.08281,0.1828665568369005,0.1526291186646009,0.7248774661602768,,,2h_upper_wick,long,2019-10-28 02:00:00,0.640856672158158,2h_wick_r60_v1p5,4.14316807395992,1.8955752772711087,10031.50699963096,1311.8251185325953,187.05017047829824,improved_winner,187.05017047829824,0.0
11054,426,10628,11330,-103.48484822953831,False,False,False,182.06,0.0027105459738547,10628,182.553482,0.7350993377483415,0.025297542856246,-0.8545116847653778,,,2h_lower_wick,short,2019-10-31 22:00:00,0.0529801324503392,2h_wick_r60_v1p5,5.227490672531364,4.224799658841214,11156.281947685256,30.239615116486142,133.72446334602446,saved_loser,133.72446334602446,0.0
12614,209,12405,12871,-44.11552014380868,False,False,False,192.43,0.0194008461593857,12405,188.767746,0.0228571428571545,0.408302179131097,0.7783250445597194,,,2h_upper_wick,long,2019-11-06 08:00:00,0.971428571428565,2h_wick_r60_v1p5,1.0887649649400055,1.6718017626327455,10402.054044512419,201.80865025920124,245.92417040300992,saved_loser,245.92417040300992,0.0
13214,343,12871,13737,47.644783237674346,False,True,False,184.78,0.0176555038424073,12871,188.04238400000003,0.6917808219178176,-0.3212793599732421,-0.634955406926335,,,2h_lower_wick,short,2019-11-08 10:00:00,0.0205479452054801,2h_wick_r60_v1p5,2.001501009903877,3.040049903501803,10357.93852436861,182.87462341640858,135.22984017873424,improved_winner,135.22984017873424,0.0
16214,527,15687,30375,2119.0179211623945,False,True,False,178.54,0.0207994959112804,15687,182.253542,0.688622754491017,-0.5347917283209529,-0.2074395577085974,,,2h_lower_wick,short,2019-11-18 20:00:00,0.0,2h_wick_r60_v1p5,8.09075091533749,9.195953984775496,10259.059615873553,213.38326853394383,-1905.6346526284506,missed_winner,0.0,1905.6346526284506
50270,1463,48807,55344,3600.431091184704,False,True,False,122.02,0.6475150467136537,48807,201.029786,0.7085714285714256,0.889351904036638,2.501470540481547,,,2h_lower_wick,short,2020-03-16 02:00:00,0.0685714285714311,2h_wick_r60_v1p5,0.2828086621154934,11.253611024881636,12361.704535413319,8004.38968970854,4403.9585985238355,improved_winner,4403.9585985238355,0.0
