combo,combo_fee10_max_dd,combo_fee10_oos_return,combo_full_return,combo_max_dd,combo_oos_return,combo_return_dd_ratio,combo_rolling12_min,combo_worst90d,dd_improve_ratio_vs_eth_same_window,fee10_dd_improve_ratio_vs_eth_same_window,oos_not_worse_than_eth_by_20pct,weights
combo_80_20_ETH_BTC,-0.3643369348451203,1.6172541476593052,9.830355382034314,-0.3541768381968804,1.8558461338541892,27.755500421994846,0.019232819349711106,-0.28090365497746694,0.015750814849759043,0.01667874579883688,True,"{""BTC_core_donchian_overlap"": 0.2, ""ETH_v22_moirai_overlap"": 0.8}"
combo_70_30_ETH_BTC,-0.38663159409482195,1.3994593707663374,8.11273846285324,-0.3737361120072058,1.6389906477533658,21.707130251028094,-0.014535089220800934,-0.303057241715865,-0.03860395156566043,-0.043493062762717694,False,"{""BTC_core_donchian_overlap"": 0.3, ""ETH_v22_moirai_overlap"": 0.7}"
combo_60_40_ETH_BTC,-0.4110112912163303,1.1915186403674212,6.568147918835977,-0.39488333408504694,1.4295392713743178,16.633135288057964,-0.051445281807317556,-0.3280159028562204,-0.09737158923578981,-0.10929225043156343,False,"{""BTC_core_donchian_overlap"": 0.4, ""ETH_v22_moirai_overlap"": 0.6}"
