avg_mae,avg_mfe,avg_trade_pnl,avg_trade_return,bucket,er_window,gross_loser,gross_winner,median_trade_pnl,median_trade_return,oos_trade_count,profit_factor,top20_winner_count,top20_winner_pnl,top20_winner_pnl_share,trade_count,trade_pnl_std,win_rate,worst20_loser_count,worst20_loser_loss,worst20_loser_loss_share
-0.03047725518604045,0.11112247371564508,29523.678589833256,0.017652116011271136,Q1,ER20,-277887.5126532037,750266.3700905358,-4710.643842649879,-0.001495959390955727,16,2.699892351862707,2,467420.22462192713,0.09463403403026562,16,93645.2377147111,0.5,2,-145929.06873753248,0.07929469531140683
-0.03377222349015034,0.07812168637717931,28041.144910624338,0.007997129806938435,Q2,ER20,-522193.23988685396,1054974.9931887165,-15447.640872367192,-0.004831610828800884,19,2.0202770020870107,2,813858.4626800122,0.16477402002743147,19,164537.80216593528,0.47368421052631576,5,-378526.17700284394,0.20568292618119322
-0.030693759159171694,0.08303073732387543,16034.954232113118,0.017656246300450495,Q3,ER20,-551106.3677951155,919910.3151337171,-10197.503697509179,-0.008256598940856424,23,1.6692064706385532,3,629697.1542668269,0.1274886681975482,23,96714.17675273109,0.43478260869565216,4,-370677.1261341199,0.20141792193972416
-0.026311279810200598,0.11529107980903965,64082.67041420508,0.04193584544491206,Q4,ER20,-413277.40284665884,1951261.492787581,50200.62778324043,0.017155142972860738,24,4.721432818119918,6,1456666.6019851952,0.2949171420524615,24,154454.58593969836,0.5833333333333334,3,-317567.537150583,0.17255932157314433
-0.0329889351571881,0.10491348867771613,36398.559879061155,0.027474012674775332,Q5,ER20,-700365.618931859,1464735.3763921433,-9433.904760260251,-0.013307094917150033,21,2.091386751145836,5,1263712.8948803318,0.2558516786374004,21,179815.51983168485,0.47619047619047616,4,-546882.4396248829,0.2971640729045551
0.0,0.0,0.0,0.0,missing,ER20,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
-0.03278776651738267,0.0872487589323554,9286.285544103777,0.010841360327324199,Q1,ER50,-850402.1528587366,1091845.5770054348,3801.523409854097,0.0039391238737463965,26,1.2839167602469668,5,799021.1638977671,0.1617700562194642,26,113447.8893307288,0.5769230769230769,5,-730871.6482888594,0.3971398239171053
-0.031162239175957365,0.07890949896514517,59034.14586333845,0.015254007184084562,Q2,ER50,-481515.6538124941,1485096.1334892479,-10197.503697509179,-0.005994943430113703,17,3.084211534413699,4,1221308.1690014042,0.24726640555659524,17,183646.89821201022,0.47058823529411764,5,-391856.460537774,0.212926313536855
-0.026572395006151557,0.16682781655448875,80505.700448495,0.05938149213843626,Q3,ER50,-247490.23247851478,1857604.2414484145,29583.440861086798,0.01990848012577371,20,7.505767895747876,4,1394239.957318147,0.2822782254959621,20,165770.5026155735,0.65,3,-188239.75288900663,0.10228540468297576
-0.031208919970159187,0.066749498879986,9005.414561736641,0.010070070202364403,Q4,ER50,-485283.39584146783,683402.516199674,-4006.205003036477,-0.004698607431257728,22,1.4082544798687644,2,266925.10171632457,0.054041733388379774,22,65061.66457043858,0.45454545454545453,4,-314306.83298221906,0.17078752555081728
-0.031067722710358854,0.09595406864537101,34614.52068485804,0.026306814800560685,Q5,ER50,-400138.7071224776,1023200.0794499223,-14003.130976709945,-0.015410397896137056,18,2.5571134739952393,3,949860.9465006504,0.19230912228470584,18,169541.69507193755,0.2777777777777778,1,-134307.6539521031,0.0729798702222703
0.0,0.0,0.0,0.0,missing,ER50,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
-0.030032987499579923,0.13364585930273326,46543.28701345681,0.03750063438898914,Q1,ER100,-331881.9941688328,1262747.734437969,12293.1766425104,0.008713315215700566,20,3.8048094100446814,7,1130473.5444252049,0.22887600116144233,20,97905.12729980676,0.55,4,-234189.43784179573,0.1272534682737868
-0.02709095775485813,0.0544478886254216,4814.581562819738,0.004883045425467529,Q2,ER100,-728991.3985237113,830097.6113429258,20617.715211163973,0.005225011793869661,21,1.1386932864008628,3,467675.1686073933,0.09468565006338855,21,110395.17431409036,0.5714285714285714,3,-600961.8011279628,0.32654962665419834
-0.037581414238015386,0.0534413517177608,-26564.186754085516,-0.0101464623389606,Q3,ER100,-754341.9904054215,249622.44207779667,-19398.060364591773,-0.016241757636202638,19,0.3309141546576732,0,0.0,0.0,19,59739.51125377077,0.21052631578947367,6,-575703.3428148858,0.3128247274733939
-0.024721771616601617,0.0953169195732801,45523.971248115304,0.019723805676761227,Q4,ER100,-420973.308634002,1513548.618588769,4478.167820923205,0.0014316651175581773,24,3.595355305304313,3,1004629.4828511364,0.20339757601383573,24,149322.1946963454,0.5416666666666666,4,-273110.6465767177,0.14840241011578686
-0.03592441534378246,0.15909648195421885,108236.35214544788,0.0679338079344254,Q5,ER100,-228641.4503817234,2285132.141145233,19636.90608833218,0.006491392427045996,19,9.99439138148459,5,2028577.1425505588,0.41070631570644056,19,217937.71861004442,0.5789473684210527,1,-75617.12028860021,0.04108870539285771
0.0,0.0,0.0,0.0,missing,ER100,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
