add_count_delta,child,comparison,dd_improve_vs_baseline_delta,full_return_delta,max_dd_delta,oos_return_delta,parent,return_dd_ratio_delta,rolling12_min_delta,top20_winner_pnl_delta,worst20_loser_pnl_delta
0,V0_constant_50,V0_minus_baseline,0.3565857902487741,-389.41792981111246,0.182278416466236,-4.3219738284012506,baseline_100,-725.5597853279878,0.13082517906295632,-4592628.277508661,1728812.2930137708
437,V1_50_reclaim_add2,V1_minus_V0,-0.2902501341093968,278.66826206157026,-0.14836916184367044,2.846484614502849,V0_constant_50,552.2825578464392,-0.0700598967588214,3670193.2529368154,-1459272.0924099518
0,V2_50_reclaim_add2_dd_throttle,V2_minus_V1,0.1895282459803591,-264.02523329501753,0.09688245997918554,-2.011209840297024,V1_50_reclaim_add2,-527.5459873487282,-0.059798558272509794,-3380953.866543254,1302876.5609694426
0,V3_constant_75,V3_minus_baseline,0.16037955194037856,-290.376201963853,0.08198232111509984,-2.5380446479967684,baseline_100,-518.5518848562579,0.06997065079212095,-3480964.6666254364,1333558.0540962063
224,V4_75_reclaim_add1,V4_minus_V3,-0.12421023010897025,249.00313874324956,-0.06349339954734134,1.9535126756382706,V3_constant_75,465.6201008606622,-0.019626785996876284,3172412.668170199,-1247000.8984083924
0,V5_75_reclaim_add1_dd_throttle,V5_minus_V4,0.19932313031448645,-306.1664720269874,0.10188937852366564,-1.8715397436868955,V4_75_reclaim_add1,-581.56761494824,-0.04103226680134109,-3711168.45966106,1400903.8277973915
