also_inside_bb,attribution_only,bar,bars_held_at_signal,base_trade_entry_notional,base_trade_pnl,baseline_realized_return,bb_lower_prev,bb_upper_prev,direction,donchian_lower_prev,donchian_upper_prev,entry_bar,entry_price,entry_time,exit_bar,exit_time,giveback_capture_ratio,is_top20,is_worst20,lead_time_bars,life_mfe,position,post_return_12,post_return_144,post_return_24,post_return_288,post_return_6,post_return_72,regime,signal_close,signal_mfe_capture_ratio,signal_return_from_entry,signal_vs_baseline_return_delta,time,tol,tol_bp
False,True,1983,1,10000.0,-52.4497206046708,-0.00524497206046708,166.02599245265324,171.48728754734677,long,165.02,174.78,1982,173.114616,2019-09-30 10:00:00,2899,2019-10-03 14:25:00,0.05404958369264873,False,False,916,0.07206430218462878,1,-0.0037587463135373422,0.02706297345746833,-0.0004047880645347002,0.034638292950904814,-0.004568322442606965,0.027872549586537954,NEUTRAL,172.93,-0.014798422236943663,-0.0010664379719388384,0.004178534088528241,2019-09-30 10:05:00,0.0,0
False,True,1983,1,10000.0,-52.4497206046708,-0.00524497206046708,166.02599245265324,171.48728754734677,long,165.02,174.78,1982,173.114616,2019-09-30 10:00:00,2899,2019-10-03 14:25:00,0.05404958369264873,False,False,916,0.07206430218462878,1,-0.0037587463135373422,0.02706297345746833,-0.0004047880645347002,0.034638292950904814,-0.004568322442606965,0.027872549586537954,NEUTRAL,172.93,-0.014798422236943663,-0.0010664379719388384,0.004178534088528241,2019-09-30 10:05:00,0.005,50
False,True,2025,43,10000.0,-52.4497206046708,-0.00524497206046708,165.82655985680262,171.9448534765307,long,165.02,174.78,1982,173.114616,2019-09-30 10:00:00,2899,2019-10-03 14:25:00,0.08020145144206224,False,False,874,0.07206430218462878,1,0.005136195752539097,0.0358956602031395,0.025738688827331435,0.03681902123730385,0.005367036011080462,0.021814404432132894,NEUTRAL,173.28,0.013256826403098406,0.000955343943922049,0.006200316004389129,2019-09-30 13:35:00,0.005,50
False,True,2043,61,10000.0,-52.4497206046708,-0.00524497206046708,165.49910613526424,172.7116138647358,long,165.02,178.61,1982,173.114616,2019-09-30 10:00:00,2899,2019-10-03 14:25:00,0.4291420868413774,False,False,856,0.07206430218462878,1,-0.0011239112110142946,0.03849395897724084,-0.0005057600449562827,-0.001461084574318594,-0.0011801067715648816,-0.00606912053947728,NEUTRAL,177.95,0.38759400111451436,0.02793169122126571,0.033176663281732785,2019-09-30 15:05:00,0.0,0
False,True,2045,63,10000.0,-52.4497206046708,-0.00524497206046708,165.41462422107753,172.88340244558913,long,165.02,178.61,1982,173.114616,2019-09-30 10:00:00,2899,2019-10-03 14:25:00,0.3828159211138462,False,False,854,0.07206430218462878,1,0.0024812496475496992,0.044662493655895696,0.0012970168612191912,-0.002537641684994152,-0.0010150566739977052,-0.0049624992950996205,NEUTRAL,177.33,0.3378961320950127,0.024350248970312238,0.029595221030779318,2019-09-30 15:15:00,0.005,50
False,True,2050,68,10000.0,-52.4497206046708,-0.00524497206046708,165.2448497455103,173.23045692115636,long,165.02,178.61,1982,173.114616,2019-09-30 10:00:00,2899,2019-10-03 14:25:00,0.3708607815712545,False,False,849,0.07206430218462878,1,-0.0014110741096122759,0.0334142349156179,-0.002314161539764048,0.00428966529322139,0.008127786871366727,-0.004402551221990181,NEUTRAL,177.17,0.3250708755738478,0.02342600580877563,0.02867097786924271,2019-09-30 15:40:00,0.005,50
False,True,2055,73,10000.0,-52.4497206046708,-0.00524497206046708,165.07203771731207,173.58833561602125,long,165.02,179.91,1982,173.114616,2019-09-30 10:00:00,2899,2019-10-03 14:25:00,0.41419816241314067,False,False,844,0.07206430218462878,1,0.0006188466947960602,0.02824191279887489,0.0006188466947960602,5.625879043602566e-05,-0.003825597749648413,-0.0007876230661040262,NEUTRAL,177.75,0.3715624304630613,0.02677638726934517,0.032021359329812246,2019-09-30 16:05:00,0.0,0
False,True,2055,73,10000.0,-52.4497206046708,-0.00524497206046708,165.07203771731207,173.58833561602125,long,165.02,179.91,1982,173.114616,2019-09-30 10:00:00,2899,2019-10-03 14:25:00,0.41419816241314067,False,False,844,0.07206430218462878,1,0.0006188466947960602,0.02824191279887489,0.0006188466947960602,5.625879043602566e-05,-0.003825597749648413,-0.0007876230661040262,NEUTRAL,177.75,0.3715624304630613,0.02677638726934517,0.032021359329812246,2019-09-30 16:05:00,0.005,50
False,True,2150,168,10000.0,-52.4497206046708,-0.00524497206046708,165.2458676467907,178.0871456865426,long,165.61,181.08,1982,173.114616,2019-09-30 10:00:00,2899,2019-10-03 14:25:00,0.586800489559269,False,False,749,0.07206430218462878,1,-0.007275352660224388,0.007164278573808636,0.01316227924025326,-0.023992002665778056,-0.00560924136398977,0.009274686215705819,NEUTRAL,180.06,0.556727071487338,0.04012014791402696,0.045365119974494036,2019-10-01 00:00:00,0.0,0
False,True,2150,168,10000.0,-52.4497206046708,-0.00524497206046708,165.2458676467907,178.0871456865426,long,165.61,181.08,1982,173.114616,2019-09-30 10:00:00,2899,2019-10-03 14:25:00,0.586800489559269,False,False,749,0.07206430218462878,1,-0.007275352660224388,0.007164278573808636,0.01316227924025326,-0.023992002665778056,-0.00560924136398977,0.009274686215705819,NEUTRAL,180.06,0.556727071487338,0.04012014791402696,0.045365119974494036,2019-10-01 00:00:00,0.005,50
False,True,2177,195,10000.0,-52.4497206046708,-0.00524497206046708,165.48038707274844,179.47779959391823,long,165.61,183.58,1982,173.114616,2019-09-30 10:00:00,2899,2019-10-03 14:25:00,0.8072233748757526,False,False,722,0.07206430218462878,1,0.01223976831867124,-0.021583520026227987,-5.464182285119801e-05,-0.03857712693295445,-0.00010928364570228499,-0.01688432326102396,NEUTRAL,183.01,0.793192738596262,0.0571608812048543,0.06240585326532137,2019-10-01 02:15:00,0.0,0
False,True,2178,196,10000.0,-52.4497206046708,-0.00524497206046708,165.4863761599433,179.5554905067234,long,165.61,183.96,1982,173.114616,2019-09-30 10:00:00,2899,2019-10-03 14:25:00,0.7713579562479862,False,False,721,0.07206430218462878,1,0.008546540294745997,-0.017093080589492216,0.0038897715444037306,-0.034514874267243756,0.007943899632937068,-0.015175587574645322,NEUTRAL,182.53,0.7547169690327766,0.05438815172024514,0.05963312378071221,2019-10-01 02:20:00,0.005,50
False,True,2180,198,10000.0,-52.4497206046708,-0.00524497206046708,165.5146990154286,179.70194098457145,long,165.61,183.96,1982,173.114616,2019-09-30 10:00:00,2899,2019-10-03 14:25:00,0.7631387978124559,False,False,719,0.07206430218462878,1,0.007455322881263049,-0.02094068632825341,0.005152943756167261,-0.035412783685999205,0.010251068961736776,-0.018693125753755035,NEUTRAL,182.42,0.7458996051744773,0.05375273454668883,0.058997706607155906,2019-10-01 02:30:00,0.005,50
