armed_trades,arming_lifecycle,arming_metric,arming_threshold_atr,attribution_pass,avg_bars_held,daily_context,dd_improve_rel,delta_avg_bars_held,delta_full,delta_giveback_to_loss_6_count,delta_mfe_capture_avg,delta_oos,delta_roll12,engulf_style,engulf_volume_ratio,exited_base_loser_pnl,exited_base_pnl,exited_base_winner_pnl,exits,full_dd,full_return,giveback_to_loss_6_count,giveback_to_loss_6_pnl,improved_winner_count,live_before_1590,live_case_hit,live_current_return_after_cost,live_next_open,live_open_profit_atr,live_reasons,live_status,live_trigger_close,live_trigger_time_cst,long_side_exits,long_window_pass,macd_tf,mfe_capture_avg,missed_pnl_proxy,missed_winner_count,net_delta_pnl_proxy,oi_threshold,oos_return,rolling12_min,saved_loser_count,saved_pnl_proxy,sequence_macd_tf,sequence_window_bars,short_side_exits,signal_variant,top20_winner_exited_pnl,top20_winner_exits,trades,unique_base_trades_exited,use_2h_wick,valuable_exit_count,variant,verdict,verdict_reason,wick_shadow_ratio,wick_volume_ratio,worsened_loser_count,worst20_loser_exited_pnl,worst20_loser_exits,year_flat,year_losses,year_min_delta,year_wins
218,latched,open_profit_atr_entry_based,1.5,True,2231.2754237288136,False,2.171895950509738e-16,-7.156779661017026,34.8162399721503,0,0.005111787521520472,0.08460755638203565,0.0,,1.5,0.0,28969.195880968797,28969.195880968797,2,-0.5111768933334905,457.6665768725939,17,-385637.031682714,2,False,False,nan,nan,nan,,no_trigger,nan,,0,True,2h,0.35829401318939574,0.0,0,10873.813625318942,,6.381770948319778,0.039948050356808595,0,10873.813625318942,,0,2,2h_wick_r75_v1p5_macd2h,0.0,0,236,2,True,2,2h_wick_r75_v1p5_macd2h_armATR1p5,OBSERVE,long_window_pass_needs_live_or_exit_review,0.75,1.5,0,0.0,0,6,0,0.0,2
215,latched,open_profit_atr_entry_based,2.0,True,2231.2754237288136,False,2.171895950509738e-16,-7.156779661017026,34.8162399721503,0,0.005111787521520472,0.08460755638203565,0.0,,1.5,0.0,28969.195880968797,28969.195880968797,2,-0.5111768933334905,457.6665768725939,17,-385637.031682714,2,False,False,nan,nan,nan,,no_trigger,nan,,0,True,2h,0.35829401318939574,0.0,0,10873.813625318942,,6.381770948319778,0.039948050356808595,0,10873.813625318942,,0,2,2h_wick_r75_v1p5_macd2h,0.0,0,236,2,True,2,2h_wick_r75_v1p5_macd2h_armATR2p0,OBSERVE,long_window_pass_needs_live_or_exit_review,0.75,1.5,0,0.0,0,6,0,0.0,2
212,latched,open_profit_atr_entry_based,2.5,True,2231.2754237288136,False,2.171895950509738e-16,-7.156779661017026,34.8162399721503,0,0.005111787521520472,0.08460755638203565,0.0,,1.5,0.0,28969.195880968797,28969.195880968797,2,-0.5111768933334905,457.6665768725939,17,-385637.031682714,2,False,False,nan,nan,nan,,no_trigger,nan,,0,True,2h,0.35829401318939574,0.0,0,10873.813625318942,,6.381770948319778,0.039948050356808595,0,10873.813625318942,,0,2,2h_wick_r75_v1p5_macd2h,0.0,0,236,2,True,2,2h_wick_r75_v1p5_macd2h_armATR2p5,OBSERVE,long_window_pass_needs_live_or_exit_review,0.75,1.5,0,0.0,0,6,0,0.0,2
208,latched,open_profit_atr_entry_based,3.0,True,2231.2754237288136,False,2.171895950509738e-16,-7.156779661017026,34.8162399721503,0,0.005111787521520472,0.08460755638203565,0.0,,1.5,0.0,28969.195880968797,28969.195880968797,2,-0.5111768933334905,457.6665768725939,17,-385637.031682714,2,False,False,nan,nan,nan,,no_trigger,nan,,0,True,2h,0.35829401318939574,0.0,0,10873.813625318942,,6.381770948319778,0.039948050356808595,0,10873.813625318942,,0,2,2h_wick_r75_v1p5_macd2h,0.0,0,236,2,True,2,2h_wick_r75_v1p5_macd2h_armATR3p0,OBSERVE,long_window_pass_needs_live_or_exit_review,0.75,1.5,0,0.0,0,6,0,0.0,2
218,latched,open_profit_atr_entry_based,1.5,False,2040.6906779661017,False,0.04421878271283755,-197.74152542372894,-320.6638519993289,0,-0.0009141404251098995,0.13456417723547442,-0.006561237862193314,strict,2.0,0.0,511797.47243397316,511797.47243397316,6,-0.48857327335935363,102.18648490111465,17,-89340.87993750337,4,False,False,nan,nan,nan,,no_trigger,nan,,5,True,4h,0.35226808524276537,92442.94611357611,2,-49836.15436860673,,6.4317275691732165,0.03338681249461528,0,42606.791744969385,,0,1,1h_strict_engulf_v2p0_macd4h,289292.0533968997,1,236,6,False,4,1h_strict_engulf_v2p0_macd4h_armATR1p5,OBSERVE,long_window_pass_needs_live_or_exit_review,0.75,1.5,0,0.0,0,4,2,-1.6449044089361804,2
215,latched,open_profit_atr_entry_based,2.0,False,2040.6906779661017,False,0.04421878271283755,-197.74152542372894,-320.6638519993289,0,-0.0009141404251098995,0.13456417723547442,-0.006561237862193314,strict,2.0,0.0,511797.47243397316,511797.47243397316,6,-0.48857327335935363,102.18648490111465,17,-89340.87993750337,4,False,False,nan,nan,nan,,no_trigger,nan,,5,True,4h,0.35226808524276537,92442.94611357611,2,-49836.15436860673,,6.4317275691732165,0.03338681249461528,0,42606.791744969385,,0,1,1h_strict_engulf_v2p0_macd4h,289292.0533968997,1,236,6,False,4,1h_strict_engulf_v2p0_macd4h_armATR2p0,OBSERVE,long_window_pass_needs_live_or_exit_review,0.75,1.5,0,0.0,0,4,2,-1.6449044089361804,2
212,latched,open_profit_atr_entry_based,2.5,False,2040.6906779661017,False,0.04421878271283755,-197.74152542372894,-320.6638519993289,0,-0.0009141404251098995,0.13456417723547442,-0.006561237862193314,strict,2.0,0.0,511797.47243397316,511797.47243397316,6,-0.48857327335935363,102.18648490111465,17,-89340.87993750337,4,False,False,nan,nan,nan,,no_trigger,nan,,5,True,4h,0.35226808524276537,92442.94611357611,2,-49836.15436860673,,6.4317275691732165,0.03338681249461528,0,42606.791744969385,,0,1,1h_strict_engulf_v2p0_macd4h,289292.0533968997,1,236,6,False,4,1h_strict_engulf_v2p0_macd4h_armATR2p5,OBSERVE,long_window_pass_needs_live_or_exit_review,0.75,1.5,0,0.0,0,4,2,-1.6449044089361804,2
208,latched,open_profit_atr_entry_based,3.0,False,2040.6906779661017,False,0.04421878271283755,-197.74152542372894,-320.6638519993289,0,-0.0009141404251098995,0.13456417723547442,-0.006561237862193314,strict,2.0,0.0,511797.47243397316,511797.47243397316,6,-0.48857327335935363,102.18648490111465,17,-89340.87993750337,4,False,False,nan,nan,nan,,no_trigger,nan,,5,True,4h,0.35226808524276537,92442.94611357611,2,-49836.15436860673,,6.4317275691732165,0.03338681249461528,0,42606.791744969385,,0,1,1h_strict_engulf_v2p0_macd4h,289292.0533968997,1,236,6,False,4,1h_strict_engulf_v2p0_macd4h_armATR3p0,OBSERVE,long_window_pass_needs_live_or_exit_review,0.75,1.5,0,0.0,0,4,2,-1.6449044089361804,2
218,latched,open_profit_atr_entry_based,1.5,False,1685.1016949152543,False,0.07487663251467817,-553.3305084745764,-302.0638424998488,-1,0.037163828847061486,0.9966253975674562,0.10507164268993807,,1.5,-19462.31310473493,2913658.078333206,2933120.3914379408,24,-0.472901688941364,120.7864944005948,16,-96846.68902976354,13,True,True,0.10461894200967055,1564.52,66.64064758600772,2h_lower_wick_setup@2026-06-26 04:00:00+macd_bull_cross_2h,triggered,1564.52,2026-06-26 22:00:00,13,False,,0.39034605451493676,413305.8644414509,9,276819.07584660413,,7.293788789505198,0.14501969304674667,2,690124.940288055,2h,144,11,2h_wick_r75_v2p0_then_macd2h_12h,2487692.4130549654,7,236,24,True,15,2h_wick_r75_v2p0_then_macd2h_12h_armATR1p5,REJECT,rejected_for_live_long_window_gate_failed,0.75,2.0,0,0.0,0,0,5,-1.5573530436449488,3
215,latched,open_profit_atr_entry_based,2.0,False,1685.1016949152543,False,0.07487663251467817,-553.3305084745764,-302.0638424998488,-1,0.037163828847061486,0.9966253975674562,0.10507164268993807,,1.5,-19462.31310473493,2913658.078333206,2933120.3914379408,24,-0.472901688941364,120.7864944005948,16,-96846.68902976354,13,True,True,0.10461894200967055,1564.52,66.64064758600772,2h_lower_wick_setup@2026-06-26 04:00:00+macd_bull_cross_2h,triggered,1564.52,2026-06-26 22:00:00,13,False,,0.39034605451493676,413305.8644414509,9,276819.07584660413,,7.293788789505198,0.14501969304674667,2,690124.940288055,2h,144,11,2h_wick_r75_v2p0_then_macd2h_12h,2487692.4130549654,7,236,24,True,15,2h_wick_r75_v2p0_then_macd2h_12h_armATR2p0,REJECT,rejected_for_live_long_window_gate_failed,0.75,2.0,0,0.0,0,0,5,-1.5573530436449488,3
