before_1590,close,current_return,daily_context,engulf_style,engulf_volume_ratio,lower_shadow_ratio_2h,macd_hist_2h,macd_hist_4h,macd_tf,oi_change_2h,oi_change_4h,oi_source,oi_threshold,reasons,saved_vs_1590,sequence_macd_tf,sequence_window_bars,status,trigger_bar,trigger_time_cst,trigger_time_utc,use_2h_wick,variant,volume_ratio_1h,volume_ratio_2h,wick_shadow_ratio,wick_volume_ratio
False,1663.81,0.03928333163041464,False,loose,1.5,0.6462882096069823,-9.939978812588883,-6.641557041264354,,0.001069178848503105,0.012720751330369096,"binance_error:HTTPError,bybit",,1h_bullish_loose_engulf,-73.80999999999995,,0,triggered,709985,2026-06-23 22:00:00,2026-06-23 14:00:00,False,1h_loose_engulf_v1p5,1.663712685202179,1.5768920795145775,0.75,1.5
False,1663.81,0.03928333163041464,False,strict,1.5,0.6462882096069823,-9.939978812588883,-6.641557041264354,,0.001069178848503105,0.012720751330369096,"binance_error:HTTPError,bybit",,1h_bullish_strict_engulf,-73.80999999999995,,0,triggered,709985,2026-06-23 22:00:00,2026-06-23 14:00:00,False,1h_strict_engulf_v1p5,1.663712685202179,1.5768920795145775,0.75,1.5
False,1663.81,0.03928333163041464,False,,1.5,0.6462882096069823,-9.939978812588883,-6.641557041264354,,0.001069178848503105,0.012720751330369096,"binance_error:HTTPError,bybit",,2h_lower_wick,-73.80999999999995,,0,triggered,709985,2026-06-23 22:00:00,2026-06-23 14:00:00,True,2h_wick_r60_v1p5,1.663712685202179,1.5768920795145775,0.6,1.5
False,1679.79,0.029396531709320772,False,loose,1.5,0.277105263157894,1.7615080247058277,-4.481329043316043,,0.0016194510066227519,-0.0011543330995553713,"binance_error:HTTPError,bybit",0.0,1h_bullish_loose_engulf+oi_flush,-89.78999999999996,,0,triggered,710249,2026-06-24 20:00:00,2026-06-24 12:00:00,False,1h_loose_engulf_v1p5_oi0,4.883656538992545,2.0241558709773497,0.75,1.5
False,1679.79,0.029396531709320772,False,loose,2.0,0.277105263157894,1.7615080247058277,-4.481329043316043,,0.0016194510066227519,-0.0011543330995553713,"binance_error:HTTPError,bybit",,1h_bullish_loose_engulf,-89.78999999999996,,0,triggered,710249,2026-06-24 20:00:00,2026-06-24 12:00:00,False,1h_loose_engulf_v2p0,4.883656538992545,2.0241558709773497,0.75,1.5
False,1679.79,0.029396531709320772,False,loose,2.0,0.277105263157894,1.7615080247058277,-4.481329043316043,,0.0016194510066227519,-0.0011543330995553713,"binance_error:HTTPError,bybit",0.0,1h_bullish_loose_engulf+oi_flush,-89.78999999999996,,0,triggered,710249,2026-06-24 20:00:00,2026-06-24 12:00:00,False,1h_loose_engulf_v2p0_oi0,4.883656538992545,2.0241558709773497,0.75,1.5
False,1679.79,0.029396531709320772,False,strict,1.5,0.277105263157894,1.7615080247058277,-4.481329043316043,,0.0016194510066227519,-0.0011543330995553713,"binance_error:HTTPError,bybit",0.0,1h_bullish_strict_engulf+oi_flush,-89.78999999999996,,0,triggered,710249,2026-06-24 20:00:00,2026-06-24 12:00:00,False,1h_strict_engulf_v1p5_oi0,4.883656538992545,2.0241558709773497,0.75,1.5
False,1679.79,0.029396531709320772,False,strict,2.0,0.277105263157894,1.7615080247058277,-4.481329043316043,,0.0016194510066227519,-0.0011543330995553713,"binance_error:HTTPError,bybit",,1h_bullish_strict_engulf,-89.78999999999996,,0,triggered,710249,2026-06-24 20:00:00,2026-06-24 12:00:00,False,1h_strict_engulf_v2p0,4.883656538992545,2.0241558709773497,0.75,1.5
False,1679.79,0.029396531709320772,False,strict,2.0,0.277105263157894,1.7615080247058277,-4.481329043316043,,0.0016194510066227519,-0.0011543330995553713,"binance_error:HTTPError,bybit",0.0,1h_bullish_strict_engulf+oi_flush,-89.78999999999996,,0,triggered,710249,2026-06-24 20:00:00,2026-06-24 12:00:00,False,1h_strict_engulf_v2p0_oi0,4.883656538992545,2.0241558709773497,0.75,1.5
True,1552.8,0.11358191653786709,False,loose,1.5,0.8019517795637172,-3.212703706651343,-8.268474427031375,,-0.010213299789326058,-0.009601789428368313,"binance_error:HTTPError,bybit",-0.005,1h_bullish_loose_engulf+oi_flush,37.200000000000045,,0,triggered,710729,2026-06-26 12:00:00,2026-06-26 04:00:00,False,1h_loose_engulf_v1p5_oiN0p5,2.3358371663846422,3.845146338981339,0.75,1.5
True,1552.8,0.11358191653786709,False,loose,2.0,0.8019517795637172,-3.212703706651343,-8.268474427031375,,-0.010213299789326058,-0.009601789428368313,"binance_error:HTTPError,bybit",-0.005,1h_bullish_loose_engulf+oi_flush,37.200000000000045,,0,triggered,710729,2026-06-26 12:00:00,2026-06-26 04:00:00,False,1h_loose_engulf_v2p0_oiN0p5,2.3358371663846422,3.845146338981339,0.75,1.5
True,1552.8,0.11358191653786709,False,,1.5,0.8019517795637172,-3.212703706651343,-8.268474427031375,,-0.010213299789326058,-0.009601789428368313,"binance_error:HTTPError,bybit",0.0,2h_lower_wick+oi_flush,37.200000000000045,,0,triggered,710729,2026-06-26 12:00:00,2026-06-26 04:00:00,True,2h_wick_r60_v1p5_oi0,2.3358371663846422,3.845146338981339,0.6,1.5
True,1552.8,0.11358191653786709,False,,1.5,0.8019517795637172,-3.212703706651343,-8.268474427031375,,-0.010213299789326058,-0.009601789428368313,"binance_error:HTTPError,bybit",-0.005,2h_lower_wick+oi_flush,37.200000000000045,,0,triggered,710729,2026-06-26 12:00:00,2026-06-26 04:00:00,True,2h_wick_r60_v1p5_oiN0p5,2.3358371663846422,3.845146338981339,0.6,1.5
True,1552.8,0.11358191653786709,False,,1.5,0.8019517795637172,-3.212703706651343,-8.268474427031375,,-0.010213299789326058,-0.009601789428368313,"binance_error:HTTPError,bybit",,2h_lower_wick,37.200000000000045,,0,triggered,710729,2026-06-26 12:00:00,2026-06-26 04:00:00,True,2h_wick_r60_v2p0,2.3358371663846422,3.845146338981339,0.6,2.0
True,1552.8,0.11358191653786709,False,,1.5,0.8019517795637172,-3.212703706651343,-8.268474427031375,,-0.010213299789326058,-0.009601789428368313,"binance_error:HTTPError,bybit",0.0,2h_lower_wick+oi_flush,37.200000000000045,,0,triggered,710729,2026-06-26 12:00:00,2026-06-26 04:00:00,True,2h_wick_r60_v2p0_oi0,2.3358371663846422,3.845146338981339,0.6,2.0
True,1552.8,0.11358191653786709,False,,1.5,0.8019517795637172,-3.212703706651343,-8.268474427031375,,-0.010213299789326058,-0.009601789428368313,"binance_error:HTTPError,bybit",-0.005,2h_lower_wick+oi_flush,37.200000000000045,,0,triggered,710729,2026-06-26 12:00:00,2026-06-26 04:00:00,True,2h_wick_r60_v2p0_oiN0p5,2.3358371663846422,3.845146338981339,0.6,2.0
True,1552.8,0.11358191653786709,False,,1.5,0.8019517795637172,-3.212703706651343,-8.268474427031375,,-0.010213299789326058,-0.009601789428368313,"binance_error:HTTPError,bybit",,2h_lower_wick,37.200000000000045,,0,triggered,710729,2026-06-26 12:00:00,2026-06-26 04:00:00,True,2h_wick_r75_v1p5,2.3358371663846422,3.845146338981339,0.75,1.5
True,1552.8,0.11358191653786709,False,,1.5,0.8019517795637172,-3.212703706651343,-8.268474427031375,,-0.010213299789326058,-0.009601789428368313,"binance_error:HTTPError,bybit",0.0,2h_lower_wick+oi_flush,37.200000000000045,,0,triggered,710729,2026-06-26 12:00:00,2026-06-26 04:00:00,True,2h_wick_r75_v1p5_oi0,2.3358371663846422,3.845146338981339,0.75,1.5
True,1552.8,0.11358191653786709,False,,1.5,0.8019517795637172,-3.212703706651343,-8.268474427031375,,-0.010213299789326058,-0.009601789428368313,"binance_error:HTTPError,bybit",-0.005,2h_lower_wick+oi_flush,37.200000000000045,,0,triggered,710729,2026-06-26 12:00:00,2026-06-26 04:00:00,True,2h_wick_r75_v1p5_oiN0p5,2.3358371663846422,3.845146338981339,0.75,1.5
True,1552.8,0.11358191653786709,False,,1.5,0.8019517795637172,-3.212703706651343,-8.268474427031375,,-0.010213299789326058,-0.009601789428368313,"binance_error:HTTPError,bybit",,2h_lower_wick,37.200000000000045,,0,triggered,710729,2026-06-26 12:00:00,2026-06-26 04:00:00,True,2h_wick_r75_v2p0,2.3358371663846422,3.845146338981339,0.75,2.0
True,1552.8,0.11358191653786709,False,,1.5,0.8019517795637172,-3.212703706651343,-8.268474427031375,,-0.010213299789326058,-0.009601789428368313,"binance_error:HTTPError,bybit",0.0,2h_lower_wick+oi_flush,37.200000000000045,,0,triggered,710729,2026-06-26 12:00:00,2026-06-26 04:00:00,True,2h_wick_r75_v2p0_oi0,2.3358371663846422,3.845146338981339,0.75,2.0
True,1552.8,0.11358191653786709,False,,1.5,0.8019517795637172,-3.212703706651343,-8.268474427031375,,-0.010213299789326058,-0.009601789428368313,"binance_error:HTTPError,bybit",-0.005,2h_lower_wick+oi_flush,37.200000000000045,,0,triggered,710729,2026-06-26 12:00:00,2026-06-26 04:00:00,True,2h_wick_r75_v2p0_oiN0p5,2.3358371663846422,3.845146338981339,0.75,2.0
True,1564.52,0.10523994579807239,False,loose,1.5,0.47724665391969084,0.6348426031978818,-6.536643511164542,2h,-0.007518507765247429,-0.007634883912472135,"binance_error:HTTPError,bybit",,1h_bullish_loose_engulf+macd_bull_cross_2h,25.480000000000018,,0,triggered,710849,2026-06-26 22:00:00,2026-06-26 14:00:00,False,1h_loose_engulf_v1p5_macd2h,3.5231324011479934,2.688326075305559,0.75,1.5
True,1564.52,0.10523994579807239,False,loose,2.0,0.47724665391969084,0.6348426031978818,-6.536643511164542,2h,-0.007518507765247429,-0.007634883912472135,"binance_error:HTTPError,bybit",,1h_bullish_loose_engulf+macd_bull_cross_2h,25.480000000000018,,0,triggered,710849,2026-06-26 22:00:00,2026-06-26 14:00:00,False,1h_loose_engulf_v2p0_macd2h,3.5231324011479934,2.688326075305559,0.75,1.5
True,1564.52,0.10523994579807239,False,strict,1.5,0.47724665391969084,0.6348426031978818,-6.536643511164542,2h,-0.007518507765247429,-0.007634883912472135,"binance_error:HTTPError,bybit",,1h_bullish_strict_engulf+macd_bull_cross_2h,25.480000000000018,,0,triggered,710849,2026-06-26 22:00:00,2026-06-26 14:00:00,False,1h_strict_engulf_v1p5_macd2h,3.5231324011479934,2.688326075305559,0.75,1.5
True,1564.52,0.10523994579807239,False,strict,1.5,0.47724665391969084,0.6348426031978818,-6.536643511164542,,-0.007518507765247429,-0.007634883912472135,"binance_error:HTTPError,bybit",-0.005,1h_bullish_strict_engulf+oi_flush,25.480000000000018,,0,triggered,710849,2026-06-26 22:00:00,2026-06-26 14:00:00,False,1h_strict_engulf_v1p5_oiN0p5,3.5231324011479934,2.688326075305559,0.75,1.5
True,1564.52,0.10523994579807239,False,strict,2.0,0.47724665391969084,0.6348426031978818,-6.536643511164542,2h,-0.007518507765247429,-0.007634883912472135,"binance_error:HTTPError,bybit",,1h_bullish_strict_engulf+macd_bull_cross_2h,25.480000000000018,,0,triggered,710849,2026-06-26 22:00:00,2026-06-26 14:00:00,False,1h_strict_engulf_v2p0_macd2h,3.5231324011479934,2.688326075305559,0.75,1.5
True,1564.52,0.10523994579807239,False,strict,2.0,0.47724665391969084,0.6348426031978818,-6.536643511164542,,-0.007518507765247429,-0.007634883912472135,"binance_error:HTTPError,bybit",-0.005,1h_bullish_strict_engulf+oi_flush,25.480000000000018,,0,triggered,710849,2026-06-26 22:00:00,2026-06-26 14:00:00,False,1h_strict_engulf_v2p0_oiN0p5,3.5231324011479934,2.688326075305559,0.75,1.5
