side,entry_step,exit_step,entry_time,exit_time,entry_price,exit_price,entry_notional,entry_size,pnl,return_pct,duration_bars,duration_days,mae_pct,mfe_pct,mae_step,mfe_step,time_to_mae_bars,time_to_mae_hours,time_to_mfe_bars,time_to_mfe_hours,entry_regime,exit_regime,mae_pnl_est,mfe_pnl_est,git_commit,checkpoint,data_file,oos_start,oos_end,commission,slippage,script_version
long,845,1289,2024-06-09 12:50:00,2024-06-11 01:50:00,3710.701992,3643.0012540000002,10000.0,1.0,-186.3738800115134,-0.018244725161426945,444,1.5416666666666667,-0.02483411284405823,0.0028964891341778376,1289,953,444,37.0,108,9.0,,,-248.3411284405823,28.964891341778376,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
short,1289,2491,2024-06-11 01:50:00,2024-06-15 06:00:00,3643.0012540000002,3534.6367859999996,9813.626119988487,1.0,291.915837245444,0.029745932116003737,1202,4.173611111111111,-0.0022258422203660366,0.07659103978996329,1712,2349,423,35.25,1060,88.33333333333333,,,-21.843583352757307,751.6358286398612,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
long,2491,3097,2024-06-15 06:00:00,2024-06-17 08:30:00,3534.6367859999996,3536.9024780000004,10103.579232009934,1.0,2.4327473525518144,0.0006409971199798914,606,2.1041666666666665,-0.0037279038265516373,0.033223559055665985,2534,2972,43,3.5833333333333335,481,40.083333333333336,,,-37.665171680877485,335.6768612882824,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
short,3097,3611,2024-06-17 08:30:00,2024-06-19 03:20:00,3536.9024780000004,3547.499358,10106.011979362485,1.0,-30.278121279039624,-0.002996090524382211,514,1.7847222222222223,-0.010480221671523182,0.050016215912187856,3213,3303,116,9.666666666666666,206,17.166666666666668,,,-105.91324575878761,505.46447717095106,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
long,3611,4051,2024-06-19 03:20:00,2024-06-20 16:00:00,3547.499358,3491.731514,10073.712655687574,1.0,-162.32778381586468,-0.015720325325566997,440,1.5277777777777777,-0.016467757173305175,0.02162668241982524,4051,3992,440,36.666666666666664,381,31.75,,,-165.89145384751416,217.86098439312946,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
short,4051,5472,2024-06-20 16:00:00,2024-06-25 14:25:00,3491.731514,3402.770418,9911.384871871709,1.0,252.51913172331297,0.02547764501460459,1421,4.934027777777778,-0.015722424756853703,0.07072179318767635,4391,5214,340,28.333333333333332,1163,96.91666666666667,,,-155.83100288422102,700.9509111119751,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
long,5472,6394,2024-06-25 14:25:00,2024-06-28 19:15:00,3402.770418,3369.07605,10161.921726620647,1.0,-104.64786979258315,-0.009902039767879511,922,3.201388888888889,-0.02199984389308285,0.02440058299578185,5793,6186,321,26.75,714,59.5,,,-223.56069163938116,247.9568144870459,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
short,6394,6946,2024-06-28 19:15:00,2024-06-30 17:15:00,3369.07605,3414.812826,10057.273856828064,1.0,-136.53176745953533,-0.013575465593897773,552,1.9166666666666667,-0.01340840910967267,0.0036674891918810903,6946,6772,552,46.0,378,31.5,,,-134.8520424003662,36.884943169705174,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
long,6946,7490,2024-06-30 17:15:00,2024-07-02 14:35:00,3414.812826,3404.988866,9918.730634597163,1.0,-32.490544777116156,-0.002876866317591764,544,1.8888888888888888,-0.0036057103646358613,0.031640730987461785,7490,7051,544,45.333333333333336,105,8.75,,,-35.76406985319822,313.83588774638497,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
short,7490,8653,2024-07-02 14:35:00,2024-07-06 15:30:00,3404.988866,3030.916062,9886.240089820047,1.0,1086.1047996128036,0.10986021356347087,1163,4.038194444444445,-0.01086086781935447,0.16945102868362794,7543,8289,53,4.416666666666667,799,66.58333333333333,,,-107.37314684593858,1675.2335530333291,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
long,8653,10313,2024-07-06 15:30:00,2024-07-12 09:50:00,3030.916062,3053.349208,10970.367641414887,1.0,76.7763437614849,0.007401440865108411,1660,5.763888888888889,-0.06667821142715624,0.06082779404928318,9060,10061,407,33.916666666666664,1408,117.33333333333333,,,-731.4844930278952,667.3032635369052,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
short,10313,10755,2024-07-12 09:50:00,2024-07-13 22:40:00,3053.349208,3172.18431,11047.143985176372,1.0,-429.9498652510647,-0.03891959088355934,442,1.5347222222222223,-0.04296619320720674,0.0018468925811777614,10755,10319,442,36.833333333333336,6,0.5,,,-474.6537228549198,20.40288826942477,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
long,10755,13001,2024-07-13 22:40:00,2024-07-21 17:50:00,3172.18431,3461.077646,10614.984691128271,1.0,962.0828412992141,0.09107079153291697,2246,7.798611111111111,-0.0024129461758796156,0.11592191816874586,10803,12712,48,4.0,1957,163.08333333333334,,,-25.613386717478623,1230.5093867274616,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
short,13001,13477,2024-07-21 17:50:00,2024-07-23 09:30:00,3461.077646,3539.1576899999995,11577.067532427485,1.0,-261.17192269433326,-0.022559460372187035,476,1.6527777777777777,-0.028512031249587233,0.013746483282449984,13084,13005,83,6.916666666666667,4,0.3333333333333333,,,-330.0857112631542,159.1439652943089,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
long,13477,13951,2024-07-23 09:30:00,2024-07-25 01:00:00,3539.1576899999995,3312.1374400000004,11313.580196226667,1.0,-729.9474578304162,-0.0641452768949663,474,1.6458333333333333,-0.06522108089509837,-0.00019996000799837876,13951,13478,474,39.5,1,0.08333333333333333,,,-737.8839291912824,-2.262263586527784,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
