config_id,overlay_family,baseline_tier,base_size,total_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,event_trade_count,logical_trade_count,partial_close_count,stop_trigger_count,stop_counts_json,event_pnl,logical_pnl,pnl_mismatch_abs,top20_loss_contribution,top50_loss_contribution,max_single_loss,git_commit,checkpoint,data_file,oos_start,oos_end,mc_seed,mc_sims,mc_block_bars,commission,slippage,script_version,return_drop_vs_baseline,dd_improvement_vs_baseline,stage_a_pass,stage_a_reason,mc_return_p5,mc_return_p50,mc_return_p95,mc_dd_p5,mc_dd_p50,mc_dd_p95,mc_loss_probability,mc_dd30_probability
balanced_dd_v2,equity_dd_sizing,balanced,0.425,1.0150860632408825,0.41580704834878257,1.6322036918772007,-0.14117185222803755,0.47465437788018433,217,217,0,0,{},10252.581623222304,10252.581623222304,0.0,0.4725534941123603,0.7847820310779648,-686.8645197969963,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,2202,2000,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,0.2771095235745519,0.09995934669281359,True,pass,0.11937121490452184,0.8920050136704213,2.3718948208474595,-0.30901121415232685,-0.1830295233252493,-0.11367449542822015,0.0215,0.0615
safe_dd_v2,equity_dd_sizing,safe,0.4,0.9608555428120629,0.39676892334280356,1.6231716607057216,-0.1372376396905071,0.47465437788018433,217,217,0,0,{},9704.849839027866,9704.849839027866,0.0,0.46815466902845443,0.7852800650054157,-628.8387703002745,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,2202,2000,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,0.25717619120652163,0.07537904067348225,True,pass,0.12206838001510498,0.8533576501379927,2.2098771682810523,-0.2968614663161604,-0.17666426923044848,-0.10939024565123985,0.0205,0.0455
balanced_adverse_-0.05_reduce_half,adverse_stop,balanced,0.425,1.4138800173700883,0.548533509214572,1.848001890337635,-0.15158843874129257,0.3904109589041096,292,254,38,75,"{""adverse_stop"": 75}",14292.285928990397,14292.285928990397,0.0,0.311858638335646,0.6428008265282051,-584.2315915832323,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,2202,2000,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,0.0,0.03354843557522974,True,pass,0.23710903824212962,1.26053047842654,3.424225283634667,-0.34259561569830566,-0.2046058656724024,-0.13162573749241233,0.017,0.1105
safe_adverse_-0.05_reduce_half,adverse_stop,safe,0.4,1.3021434428607788,0.5125378647502139,1.8321570829529186,-0.14345014323647579,0.3904109589041096,292,254,38,75,"{""adverse_stop"": 75}",13162.898393505364,13162.898393505364,0.0,0.3091086327734936,0.6422490990233992,-524.719148400949,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,2202,2000,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,0.0,0.033523096477363123,True,pass,0.22490858360391475,1.1650462351962214,3.0762261921828262,-0.3253914028997274,-0.19375132526700445,-0.12410498448277603,0.017,0.085
safe_time_v1,time_in_loss_stop,safe,0.4,1.2607620850289725,0.49898428137508266,1.8179762553262608,-0.15021363095377271,0.38235294117647056,272,231,41,55,"{""time_in_loss_stop"": 55}",12739.384145071219,12739.384145071223,3.637978807091713e-12,0.4072808423024276,0.7161374857549283,-717.7879331370073,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,2202,2000,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,0.025322691855661602,-0.012045032759362447,True,pass,0.20584475416366868,1.1243451335391736,2.972069644561069,-0.3197237024760528,-0.19123092074298037,-0.12323845546314571,0.0165,0.081
balanced_time_v1,time_in_loss_stop,balanced,0.425,1.3679809957805187,0.5338510370283516,1.8328601674754108,-0.15877087208982166,0.38235294117647056,272,231,41,55,"{""time_in_loss_stop"": 55}",13822.875424812413,13822.87542481241,3.637978807091713e-12,0.4079075317108392,0.7169532460402896,-771.9752105998009,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,2202,2000,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,0.02579646239703171,-0.012243143279337091,True,pass,0.21555859764198823,1.2163807378331546,3.3094018312064697,-0.3362820683227294,-0.20199517479214302,-0.13051370872280418,0.017,0.098
safe_squeeze_2_1,squeeze_stop,safe,0.4,1.5645825165431386,0.5957774985641078,2.21003407239047,-0.14563885469768334,0.23623853211009174,436,217,219,219,"{""squeeze_stop"": 219}",15780.276254730763,15780.276254730763,0.0,0.42966647281924497,0.7443653477926083,-735.8959221431933,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,2202,2000,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,0.0,0.0187769343055675,True,pass,0.3720118233700825,1.4062889912118628,3.4009271556445335,-0.28776962526692795,-0.1725880823389257,-0.11115553313654251,0.005,0.037
safe_squeeze_2.5_1,squeeze_stop,safe,0.4,1.5645825165431386,0.5957774985641078,2.21003407239047,-0.14563885469768334,0.23623853211009174,436,217,219,219,"{""squeeze_stop"": 219}",15780.276254730763,15780.276254730763,0.0,0.42966647281924497,0.7443653477926083,-735.8959221431933,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,2202,2000,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,0.0,0.0187769343055675,True,pass,0.3720118233700825,1.4062889912118628,3.4009271556445335,-0.28776962526692795,-0.1725880823389257,-0.11115553313654251,0.005,0.037
balanced_be_0.03_0_close,break_even_stop,balanced,0.425,1.3678025886262772,0.5337936886271155,1.7875504316060302,-0.15733020102508025,0.3895131086142322,267,267,0,50,"{""break_even_stop"": 50}",13835.090142108058,13835.090142108058,0.0,0.4488563700101931,0.7597082908218101,-845.9224444838819,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,2202,2000,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,0.025923514513495158,-0.003058149912415078,True,pass,0.20735751934247143,1.2027384773243444,3.379924140642611,-0.34914474942396473,-0.20949486114417526,-0.13350652646046776,0.019,0.1215
safe_be_0.03_0_close,break_even_stop,safe,0.4,1.2608182920565478,0.49900277516640124,1.7734291078737776,-0.14888218883835133,0.3895131086142322,267,267,0,50,"{""break_even_stop"": 50}",12753.090963455255,12753.090963455255,0.0,0.4478166794015871,0.7588706308758468,-771.0288607166494,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,2202,2000,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,0.025279238998864525,-0.003074612626628245,True,pass,0.19912827678936437,1.1122231913411227,3.033553426560361,-0.33222835882306495,-0.1982523103935014,-0.12623815420823056,0.019,0.0945
