avg_bars_held,daily_context,dd_improve_rel,delta_avg_bars_held,delta_full,delta_giveback_to_loss_6_count,delta_mfe_capture_avg,delta_oos,delta_roll12,engulf_style,engulf_volume_ratio,exited_base_loser_pnl,exited_base_pnl,exited_base_winner_pnl,exits,full_dd,full_return,giveback_to_loss_6_count,giveback_to_loss_6_pnl,macd_tf,mfe_capture_avg,oi_threshold,oos_return,pass_gate,rolling12_min,sequence_macd_tf,sequence_window_bars,top20_winner_exited_pnl,top20_winner_exits,trades,unique_base_trades_exited,use_2h_wick,variant,wick_shadow_ratio,wick_volume_ratio,worst20_loser_exited_pnl,worst20_loser_exits,year_flat,year_losses,year_min_delta,year_wins,live_status,live_trigger_time_cst,live_trigger_close,live_current_return,live_before_1590,live_reasons,live_hit,exit_rows,saved_loser_count,improved_winner_count,missed_winner_count,worsened_loser_count,valuable_exit_count,net_delta_pnl_proxy,saved_pnl_proxy,missed_pnl_proxy,avg_delta_pnl_proxy,compression_category,recommendation
679.2838983050848,False,-0.1458826346923221,-1559.148305084746,-417.0293102054396,-14,0.2474372160315087,-3.2224913636686745,-0.3833031987625382,strict,1.5,-559545.1199282123,5875063.456302753,6434608.576230966,126,-0.5857487253268163,5.821026695003983,3,-663.6326012238878,,0.600619441699384,,3.074672028269068,False,-0.3433551484057296,,0,4512999.143081311,18,236,126,False,1h_strict_engulf_v1p5,0.75,1.5,-202812.01658995837,3,0,7,-2.446571432794027,1,triggered,2026-06-23 22:00:00,1663.81,0.0392833316304146,False,1h_bullish_strict_engulf,True,126,37,44,45,0,81,-896826.7994479188,2034220.6414569018,2931047.4409048203,-7117.673011491419,B_live_hit_rejected_for_live,REJECTED_FOR_LIVE
557.9449152542373,False,-0.368444230363104,-1680.4872881355932,-418.2679026602726,-14,0.2624688502482172,-3.3069252495382107,-0.5320909170939626,loose,2.0,-1087450.5524324568,5657656.47562663,6745107.028059089,144,-0.699517070377151,4.582434240170968,3,-165.7681109146788,,0.6156510759160925,,2.9902381423995315,False,-0.492142866737154,,0,4719136.148079099,19,236,144,False,1h_loose_engulf_v2p0,0.75,1.5,-619214.3700434203,6,0,8,-2.446491577273661,0,triggered,2026-06-24 20:00:00,1679.79,0.0293965317093207,False,1h_bullish_loose_engulf,True,144,50,36,58,0,86,-1428073.056038962,2775475.790812012,4203548.846850974,-9917.17400027057,B_live_hit_rejected_for_live,REJECTED_FOR_LIVE
730.6271186440678,False,-0.1819063005901248,-1507.805084745763,-417.7919400357641,-12,0.2527153496608413,-3.5927254957527444,-0.39019466034385,,1.5,-753669.6286940693,6173450.313988625,6927119.942682692,125,-0.6041631909469387,5.058396864679502,5,-1112.9965292273537,,0.6058975753287166,,2.7044378961849977,False,-0.3502466099870414,,0,4939240.194203679,20,236,125,True,2h_wick_r60_v1p5,0.6,1.5,-335206.7737965804,4,0,8,-2.121923450047733,0,triggered,2026-06-23 22:00:00,1663.81,0.0392833316304146,False,2h_lower_wick,True,125,35,39,51,0,74,-1045633.7481647787,2572057.047657648,3617690.795822427,-8365.069985318229,B_live_hit_rejected_for_live,REJECTED_FOR_LIVE
935.6567796610168,False,-0.3820211235638589,-1302.7754237288136,-412.1293380746323,-11,0.1832987717604746,-3.604052734455663,-0.5172826229536868,loose,2.0,-587609.6829037735,6045969.809554409,6633579.492458185,110,-0.7064572644646335,10.720998825811296,6,-4932.280602024455,,0.5364809974283499,0.0,2.693110657482079,False,-0.4773345725968781,,0,4719136.148079099,19,236,110,False,1h_loose_engulf_v2p0_oi0,0.75,1.5,-202812.01658995837,3,1,7,-2.2427414083625083,0,triggered,2026-06-24 20:00:00,1679.79,0.0293965317093207,False,1h_bullish_loose_engulf+oi_flush,True,110,32,30,48,0,62,-1877024.8432999582,2068031.4013194737,3945056.244619432,-17063.862211817803,B_live_hit_rejected_for_live,REJECTED_FOR_LIVE
1006.915254237288,False,-0.3841506804165215,-1231.5169491525426,-414.177068982749,-9,0.1539238121752169,-4.029315424581709,-0.5192208867768078,loose,2.0,-484322.2774325815,5899506.572280681,6383828.849713264,95,-0.7075458447207547,8.673267917694627,8,-6916.129169282445,,0.5071060378430922,-0.005,2.267847967356033,False,-0.4792728364199992,,0,4611421.204697207,18,236,95,False,1h_loose_engulf_v2p0_oiN0p5,0.75,1.5,-202812.01658995837,3,1,7,-2.2427414083625083,0,triggered,2026-06-26 12:00:00,1552.8,0.113581916537867,True,1h_bullish_loose_engulf+oi_flush,True,95,24,25,46,0,49,-1821807.5809779228,2026341.3961839243,3848148.977161847,-19176.921905030766,B_live_hit_rejected_for_live,REJECTED_FOR_LIVE
468.4491525423729,False,-0.2201121233463346,-1769.983050847458,-421.56890906830137,-17,0.3138183397632833,-4.631400604618376,-0.4714475912166912,loose,1.5,-1190231.5874199448,5841936.875095306,7032168.462515253,162,-0.623693124730708,1.2814278321422208,0,0.0,,0.6670005654311586,,1.665762787319366,False,-0.4314995408598826,,0,4939240.194203679,20,236,162,False,1h_loose_engulf_v1p5,0.75,1.5,-666951.9921021984,7,0,8,-2.488551309601365,0,triggered,2026-06-23 22:00:00,1663.81,0.0392833316304146,False,1h_bullish_loose_engulf,True,162,59,35,68,0,94,-1959414.3430938239,2737843.0764055536,4697257.419499378,-12095.150266011258,B_live_hit_rejected_for_live,REJECTED_FOR_LIVE
844.8983050847457,False,-0.2968937198997196,-1393.533898305085,-417.88602512683866,-14,0.2082419819636585,-4.80789777582401,-0.480743998290794,loose,1.5,-757439.9179385877,6191081.0975011,6948521.015439689,130,-0.6629421027220528,4.964311773604946,3,-4423.197569477403,,0.5614242076315338,0.0,1.4892656161137316,False,-0.4407959479339854,,0,4939240.194203679,20,236,130,False,1h_loose_engulf_v1p5_oi0,0.75,1.5,-330252.84313500265,5,1,7,-2.2427414083625083,0,triggered,2026-06-24 20:00:00,1679.79,0.0293965317093207,False,1h_bullish_loose_engulf+oi_flush,True,130,41,32,57,0,73,-2178459.602306771,2297680.1574875084,4476139.759794279,-16757.38155620593,B_live_hit_rejected_for_live,REJECTED_FOR_LIVE
916.7161016949152,False,-0.301270152064421,-1321.716101694915,-418.5599855890231,-12,0.1912930329371895,-5.286921315671989,-0.480743998290794,loose,1.5,-526711.6859223514,6312041.096263386,6838752.782185739,114,-0.6651792337198896,4.290351311420533,5,-5752.128339250072,,0.5444752586050648,-0.005,1.010242076265753,False,-0.4407959479339854,,0,4939240.194203679,20,236,114,False,1h_loose_engulf_v1p5_oiN0p5,0.75,1.5,-202812.01658995837,3,1,7,-2.2427414083625083,0,triggered,2026-06-26 12:00:00,1552.8,0.113581916537867,True,1h_bullish_loose_engulf+oi_flush,True,114,31,30,53,0,61,-2250676.4969163015,2043414.2251371853,4294090.722053487,-19742.776288739486,B_live_hit_rejected_for_live,REJECTED_FOR_LIVE
1713.9449152542372,False,-0.0056344855729205,-524.4872881355934,-300.6566014236347,-1,0.0216772998502634,1.6755775210974555,-0.1065182684149664,,1.5,-10761.342604880008,1877588.418630547,1888349.761235427,21,-0.5140571121641885,122.19373547680893,16,-94244.26822947925,,0.3748595255181386,,7.972740913035198,False,-0.0665702180581578,2h,288,1616152.4933650582,6,236,21,True,2h_wick_r85_v1p5_then_macd2h_24h,0.85,1.5,0.0,0,0,6,-1.2706950222182734,2,no_trigger,,,,False,,False,21,3,11,7,0,14,211645.72916944505,383813.59342522954,172167.8642557845,10078.368055687859,C_overtrigger_or_winner_damage,REJECT
1507.9703389830509,False,-0.0897947614495479,-730.4618644067798,-382.5215093804037,-1,0.0321451342523027,1.6538071380886734,-0.2435186267388638,,1.5,-10761.342604880008,2116094.228058019,2126855.570662899,30,-0.5570779005288924,40.3288275200399,16,-32450.53893795129,,0.385327359920178,,7.950970530026415,False,-0.2035705763820552,,0,1616152.4933650582,6,236,30,True,2h_wick_r85_v1p5,0.85,1.5,0.0,0,0,5,-2.2285315231161658,3,no_trigger,,,,False,,False,30,3,14,13,0,17,261079.9148345879,547429.3153323556,286349.4004977676,8702.663827819597,C_overtrigger_or_winner_damage,REJECT
1714.7881355932204,False,-0.0056344855729203,-523.6440677966102,-305.19989799884013,-1,0.0177573512966287,1.4558625696772598,-0.1065182684149664,,1.5,-10717.2270847362,1691249.3867609345,1701966.6138456706,18,-0.5140571121641884,117.65043890160344,16,-93047.04445459555,,0.3709395769645039,,7.753025961615002,False,-0.0665702180581578,2h,288,1508437.5499831657,5,236,18,True,2h_wick_r85_v2p0_then_macd2h_24h,0.85,2.0,0.0,0,0,6,-1.2706950222182734,2,no_trigger,,,,False,,False,18,2,9,7,0,11,109921.4254461102,282089.2897018947,172167.8642557845,6106.745858117233,C_overtrigger_or_winner_damage,REJECT
1882.3050847457628,False,-0.0465795072263206,-356.1271186440679,-281.3438010454647,0,0.0123204106820898,1.4320020121920205,-0.1843186534075056,,1.5,-10664.777364131529,1706729.4672231907,1717394.2445873222,17,-0.534987261130446,141.50653585497892,17,-108254.19134921732,,0.3655026363499651,0.0,7.729165404129763,False,-0.144370603050697,,0,1392825.0056213364,5,236,17,True,2h_wick_r85_v1p5_oi0,0.85,1.5,0.0,0,1,3,-1.860765670026985,4,no_trigger,,,,False,,False,17,1,10,6,0,11,388194.96427972877,530584.0498165442,142389.08553681543,22834.997898807575,C_overtrigger_or_winner_damage,REJECT
1590.771186440678,False,-0.0200124930440499,-647.6610169491528,-366.63209716039177,-1,0.028737578448345,1.3513180909831508,-0.2537386429622636,,1.5,-10717.2270847362,1855114.5751195748,1865831.802204311,24,-0.5214068173556061,56.21823974005184,16,-45601.93880018628,,0.3819198041162203,,7.648481482920893,False,-0.213790592605455,,0,1508437.5499831657,5,236,24,True,2h_wick_r85_v2p0,0.85,2.0,0.0,0,0,5,-1.9480865252110595,3,no_trigger,,,,False,,False,24,2,9,13,0,11,117295.9936889884,381391.5514260066,264095.55773701816,4887.333070374517,C_overtrigger_or_winner_damage,REJECT
