Q1_lowest_ER_top20_count,Q1_lowest_ER_top20_pnl,Q1_lowest_ER_top20_pnl_share,Q1_lowest_ER_worst20_count,Q1_lowest_ER_worst20_loss,Q1_lowest_ER_worst20_loss_share,er_window
3,643952.8877656086,0.1303748881298186,3,-186887.38708160992,0.1015505583937833,ER20
6,975553.8270414486,0.19751091031901716,6,-771829.9666329368,0.41939568699948176,ER50
7,1130473.5444252049,0.22887600116144233,5,-275147.7561858732,0.14950933135616326,ER100
