bars,blocked_full,blocked_oos,blocked_oos_original_pnl,blocked_original_pnl,cache_after,cache_before,data,days,decisions,end,gate_delta_full,gate_delta_oos,gate_fee_10bp_full,gate_full_dd,gate_full_return,gate_is_return,gate_oos_return,gate_rolling_12m_min,gate_trades_full,raw_fee_10bp_full,raw_full_dd,raw_full_return,raw_is_return,raw_oos_return,raw_rolling_12m_min,raw_trades_full,signals_changed,split_idx,start
17280,0,0,0.0,0.0,19,0,data\crypto\BTCUSDT_5m_60d.parquet,60,19,2026-06-10 12:45:00,0.0,0.0,-0.11877301984861621,-0.1463529930771874,-0.0987610051078045,-0.09083272631323325,-0.011034396489540632,,19,-0.11877301984861621,-0.1463529930771874,-0.0987610051078045,-0.09083272631323325,-0.011034396489540632,,19,0,12096,2026-04-11 12:50:00
105120,1,1,-140.5266040059705,-140.5266040059705,68,0,data\crypto\BTCUSDT_5m_365d.parquet,365,68,2026-06-11 09:20:00,0.014318521734433487,0.017954674027143236,-0.18370516751211707,-0.2750530248023028,-0.11641240838107081,-0.2032674024829142,0.10797242035088228,,67,-0.19821786096790983,-0.2750530248023028,-0.1307309301155043,-0.2032674024829142,0.09001774632373905,,68,801,73584,2025-06-11 09:25:00
210240,2,1,-132.3915363575561,-1975.7552776516204,91,0,data\crypto\BTCUSDT_5m_730d.parquet,730,91,2026-06-12 00:40:00,0.20233314537040425,0.018439595572050216,-0.07127434199484783,-0.4139806493861385,0.03233710680167534,-0.08056364429663065,0.13789664492764553,-0.24644185943228636,89,-0.25522335433046983,-0.41398064938613877,-0.1699960385687289,-0.24859223137605857,0.11945704935559531,-0.24644185943228636,91,5985,147168,2024-06-12 00:45:00
374314,1,1,-295.55493887977354,-295.55493887977354,111,0,data\crypto\BTCUSDT_5m_1300d.parquet,1300,111,2026-06-12 03:35:00,0.030442622682611775,0.017865045286423076,0.6453827955562106,-0.5241051616742023,0.8785964192104041,0.6994408481587162,0.1024414832456253,-0.0460235847277376,110,0.6161299629043548,-0.5241051616742023,0.8481537965277923,0.6994408481587162,0.08457643795920222,-0.0460235847277376,111,801,262019,2022-11-20 03:40:00
