config_id,overlay_family,baseline_tier,base_size,total_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,event_trade_count,logical_trade_count,partial_close_count,stop_trigger_count,stop_counts_json,event_pnl,logical_pnl,pnl_mismatch_abs,top20_loss_contribution,top50_loss_contribution,max_single_loss,git_commit,checkpoint,data_file,oos_start,oos_end,mc_seed,mc_sims,mc_block_bars,commission,slippage,script_version,stage_a_pass,stage_a_reason,return_drop_vs_baseline,dd_improvement_vs_baseline
safe_time_v1,time_in_loss_stop,safe,0.4,1.2607620850289725,0.49898428137508266,1.8179762553262608,-0.15021363095377271,0.38235294117647056,272,231,41,55,"{""time_in_loss_stop"": 55}",12739.384145071219,12739.384145071223,3.637978807091713e-12,0.4072808423024276,0.7161374857549283,-717.7879331370073,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,,,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,True,pass,0.025322691855661602,-0.012045032759362447
safe_time_v2,time_in_loss_stop,safe,0.4,0.8701224418004181,0.36431311250724074,1.426309950607667,-0.19528553303768126,0.30939226519337015,362,259,103,145,"{""time_in_loss_stop"": 145}",8834.046564114004,8834.04656411401,7.275957614183426e-12,0.3573667854409096,0.6355479625162036,-687.6745229236303,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,,,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,True,pass,0.3273206662853277,-0.31571118030807366
safe_squeeze_2_1,squeeze_stop,safe,0.4,1.5645825165431386,0.5957774985641078,2.21003407239047,-0.14563885469768334,0.23623853211009174,436,217,219,219,"{""squeeze_stop"": 219}",15780.276254730763,15780.276254730763,0.0,0.42966647281924497,0.7443653477926083,-735.8959221431933,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,,,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,True,pass,0.0,0.0187769343055675
safe_squeeze_2_0,squeeze_stop,safe,0.4,0.7566536699259911,0.3225868215746299,1.364286215020855,-0.1537528612756263,0.01611565351344946,8439,395,8044,8222,"{""squeeze_stop"": 8222}",7855.75220142171,7855.752201421698,1.1823431123048067e-11,0.40441844900682444,0.5866368902893353,-568.9000987110439,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,,,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,False,return_drop_without_dd_payoff,0.41504176643759705,-0.03589014218305733
safe_squeeze_2.5_1,squeeze_stop,safe,0.4,1.5645825165431386,0.5957774985641078,2.21003407239047,-0.14563885469768334,0.23623853211009174,436,217,219,219,"{""squeeze_stop"": 219}",15780.276254730763,15780.276254730763,0.0,0.42966647281924497,0.7443653477926083,-735.8959221431933,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,,,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,True,pass,0.0,0.0187769343055675
safe_squeeze_2.5_0,squeeze_stop,safe,0.4,0.49636836104848037,0.22141128206843663,0.9434190588719652,-0.13133794194462928,0.015567649664599418,7901,383,7518,7684,"{""squeeze_stop"": 7684}",5228.934534341134,5228.934534341123,1.0913936421275139e-11,0.38170630886048185,0.5632111276006802,-520.7212966305169,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,,,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,False,return_drop_without_dd_payoff,0.6162646515630011,0.11512749599398983
safe_squeeze_3_1,squeeze_stop,safe,0.4,1.5572823854781221,0.5935217335110268,2.201124215107654,-0.14563885469768334,0.23732718894009217,434,217,217,217,"{""squeeze_stop"": 217}",15707.064012547242,15707.06401254724,1.8189894035458565e-12,0.42851924958772664,0.7435655010493789,-734.6266979646562,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,,,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,True,pass,0.0,0.0187769343055675
safe_squeeze_3_0,squeeze_stop,safe,0.4,0.8322862463045873,0.35054490326865717,1.423511985496829,-0.12823542935939558,0.017543859649122806,7068,367,6701,6851,"{""squeeze_stop"": 6851}",8587.622266086086,8587.622266086068,1.8189894035458565e-11,0.37979015496650426,0.5726832957807056,-562.6010359402517,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,,,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,False,return_drop_without_dd_payoff,0.3565712930405349,0.13603027579514815
safe_be_0.025_0_reduce_half,break_even_stop,safe,0.4,1.2715250748718865,0.5025214122952375,1.9275639678845498,-0.14202948742374866,0.37454545454545457,275,217,58,58,"{""break_even_stop"": 58}",12837.420763428407,12837.420763428403,3.637978807091713e-12,0.502946954120347,0.806855570211171,-775.6320088112516,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,,,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,False,weak_dd_and_tail_improvement,0.017001976875217675,0.043094582429750956
safe_be_0.03_0_reduce_half,break_even_stop,safe,0.4,1.3605208648748075,0.5314511417830245,1.9832984564847655,-0.14588610145988654,0.40234375,256,217,39,39,"{""break_even_stop"": 39}",13730.544645665947,13730.544645665947,0.0,0.48906056219590616,0.7933160165185591,-799.3291370749557,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,,,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,False,weak_dd_and_tail_improvement,0.0,0.017111141021930114
safe_be_0.04_0.005_reduce_half,break_even_stop,safe,0.4,1.3603697772037688,0.5314024980197047,1.9466807041632381,-0.14936801572642178,0.4957983193277311,238,217,21,21,"{""break_even_stop"": 21}",13728.569422118995,13728.569422118995,0.0,0.47391412902626223,0.786921521528375,-796.9328079955867,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,,,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,False,weak_dd_and_tail_improvement,0.0,-0.006347808845445058
safe_be_0.03_0_close,break_even_stop,safe,0.4,1.2608182920565478,0.49900277516640124,1.7734291078737776,-0.14888218883835133,0.3895131086142322,267,267,0,50,"{""break_even_stop"": 50}",12753.090963455255,12753.090963455255,0.0,0.4478166794015871,0.7588706308758468,-771.0288607166494,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,,,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,True,pass,0.025279238998864525,-0.003074612626628245
balanced_dd_v1,equity_dd_sizing,balanced,0.425,1.096849589614454,0.44402941886443803,1.627927708976262,-0.14774092473012468,0.47465437788018433,217,217,0,0,{},11079.73086398647,11079.73086398647,0.0,0.4683457851607199,0.7825129390293009,-751.9953004475101,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,,,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,True,pass,0.2188818750284702,0.058078247783306385
balanced_dd_v2,equity_dd_sizing,balanced,0.425,1.0150860632408825,0.41580704834878257,1.6322036918772007,-0.14117185222803755,0.47465437788018433,217,217,0,0,{},10252.581623222304,10252.581623222304,0.0,0.4725534941123603,0.7847820310779648,-686.8645197969963,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,,,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,True,pass,0.2771095235745519,0.09995934669281359
balanced_dd_v3,equity_dd_sizing,balanced,0.425,0.8513865322562142,0.3575130220222089,1.4291346040470945,-0.15216473552637783,0.47465437788018433,217,217,0,0,{},8607.578980536007,8607.578980536007,0.0,0.48417243281847683,0.7952478839263307,-685.9612709053581,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,,,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,False,return_drop_without_dd_payoff;weak_dd_and_tail_improvement,0.39368765052303273,0.029874257424552016
balanced_adverse_-0.04_reduce_half,adverse_stop,balanced,0.425,1.3682681725234778,0.533943344489787,1.8047432313253455,-0.15940747372252498,0.3628048780487805,328,270,58,111,"{""adverse_stop"": 111}",13841.856811118903,13841.8568111189,3.637978807091713e-12,0.27706173015800284,0.5541479860657167,-452.3107076830629,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,,,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,True,pass,0.02559195034622766,-0.016301794776444275
balanced_adverse_-0.04_close,adverse_stop,balanced,0.425,1.390911384115153,0.5412039051231405,1.8180075937883673,-0.1586618328106248,0.44,275,275,0,58,"{""adverse_stop"": 58}",14074.252061072088,14074.252061072088,0.0,0.27470670993053875,0.5488963580497613,-443.9975283608146,97ec821,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,,,288,0.0002,0.0002,2026-06-17.risk_overlay.v1,True,pass,0.009466655548022892,-0.011547963733729343
