adverse_rate_12,adverse_rate_144,adverse_rate_24,adverse_rate_288,adverse_rate_6,adverse_rate_72,also_inside_bb,avg_bars_held_at_signal,avg_baseline_realized_return,avg_giveback_capture_ratio,avg_lead_time_bars,avg_post_return_12,avg_post_return_144,avg_post_return_24,avg_post_return_288,avg_post_return_6,avg_post_return_72,avg_signal_mfe_capture_ratio,avg_signal_return_from_entry,avg_signal_vs_baseline_return_delta,base_trade_pnl_sum,direction,events,is_top20,median_lead_time_bars,positive_delta_rate,regime,tol_bp,top20_events,unique_trades,worst20_events
0.5068702290076336,0.5642201834862385,0.5114503816793893,0.5650842266462481,0.5389312977099237,0.5465648854961832,False,437.9832061068702,0.04381553188135368,0.13084131313249753,1335.1175572519085,0.0001609867157359239,-0.0014245498318080458,0.0002649879264739611,-0.005485226880500793,0.00018114040833478836,5.5860518262910476e-05,0.32903513790579025,0.037799970336946764,-0.006015561544406918,-161105.54550526658,long,655,False,591.0,0.6854961832061068,BEAR,0,0,80,34
0.4497354497354497,0.3544973544973545,0.455026455026455,0.32275132275132273,0.5079365079365079,0.3862433862433862,False,665.5343915343915,0.19269724161285495,-0.669647622601356,7721.312169312169,0.0032363887042287497,0.017276943917369784,0.003802146139637403,0.03188803774448187,0.001569337472400662,0.009320005182817795,0.2992936662450426,0.07236451813671016,-0.12033272347614486,1579251.9246896137,long,189,True,2027.0,0.21164021164021163,BEAR,0,189,9,0
0.5,0.6818181818181818,0.5454545454545454,0.5909090909090909,0.45454545454545453,0.5,True,270.04545454545456,0.08602068861140884,-0.17298921359964659,1118.6363636363637,0.0034106085382135513,-0.0019303977254745016,0.002724538198831566,-0.004124392238850618,3.0415463248152768e-06,0.00336015941339456,0.28053554086910587,0.042290347416763484,-0.04373034119464534,-47394.04108636466,long,22,False,953.5,0.5454545454545454,BEAR,0,0,16,1
0.5454545454545454,0.2727272727272727,0.45454545454545453,0.2727272727272727,0.2727272727272727,0.2727272727272727,True,490.45454545454544,0.1793453683950639,-0.09348759159630812,5218.818181818182,-0.001280859170101032,0.015453587791841451,0.00018651188468481056,0.02116343192905309,0.00019265580830395525,0.00882690583232194,0.5287540309147991,0.09634567744652972,-0.08299969094853421,646325.6803983721,long,11,True,610.0,0.6363636363636364,BEAR,0,11,4,0
0.49298597194388777,0.5509586276488395,0.5200400801603207,0.5727272727272728,0.4819639278557114,0.5511022044088176,False,433.5861723446894,0.03950017971358854,0.14786902143860262,1372.8677354709419,0.0005472385951480985,-0.0012439548421286134,0.0005122173771968411,-0.006118031565807635,0.00047029938604803857,-0.0003001265888830344,0.2786991245808311,0.03494144362024697,-0.004558736093341558,-161105.54550526658,long,998,False,560.0,0.685370741482966,BEAR,50,0,80,51
0.4675324675324675,0.4329004329004329,0.5021645021645021,0.3939393939393939,0.45021645021645024,0.47186147186147187,False,811.952380952381,0.154296502014173,-0.47255977525232723,5168.30303030303,0.0007041334303511725,0.01255719785508779,0.0018366468601569107,0.02128197628732597,0.000575131959952309,0.0056901907608419315,0.36383256647578416,0.07600497852368254,-0.07829152349049048,1579251.9246896137,long,231,True,1343.0,0.27705627705627706,BEAR,50,231,9,0
0.4945652173913043,0.5461956521739131,0.5054347826086957,0.5,0.49728260869565216,0.529891304347826,True,511.5054347826087,0.030538978846953457,0.05869096408022945,856.3967391304348,5.3081518846131934e-05,-0.001280249629004529,0.0001482073160042157,-0.001595283247923658,-3.738639337891465e-05,0.0005336222571495953,-0.37990616036913744,0.020838767488185375,-0.009700211358768081,-217096.13165237277,long,368,False,476.5,0.6983695652173914,BEAR,50,0,65,32
0.29473684210526313,0.30526315789473685,0.29473684210526313,0.3368421052631579,0.3473684210526316,0.2736842105263158,True,751.1894736842105,0.1432498058106007,-0.7475543464928719,5657.852631578948,0.0024328477566823805,0.014120815798142972,0.0041482620832282435,0.01954827268405791,0.0013539782675715925,0.009664674482899573,0.264106314178766,0.04680333889388096,-0.09644646691671968,1579251.9246896137,long,95,True,1324.0,0.14736842105263157,BEAR,50,95,9,0
0.5678092399403875,0.5350223546944859,0.5797317436661699,0.5096870342771982,0.5484351713859911,0.5618479880774963,False,540.461997019374,0.053934891486047964,0.11193222882988751,842.655737704918,-4.897170258700711e-05,-0.0006620596980893685,-0.00032097274589997616,0.0016341900919719348,0.000102014318322112,-0.0014784368230923203,0.36525509206491114,0.061661644209195565,0.0077267527231476086,-287981.46474310936,short,671,False,736.0,0.6482861400894188,BEAR,0,0,81,27
0.535483870967742,0.36774193548387096,0.4774193548387097,0.3548387096774194,0.5419354838709678,0.47096774193548385,False,688.1354838709677,0.15620936384830097,-0.4294722290518322,1126.483870967742,0.00028382957080857275,0.013309271786940387,0.0005043248770324628,0.016541723531596744,0.00047199823596734387,0.0058788307685902945,0.5392188165836205,0.131838380670731,-0.024370983177569975,2203599.4451386407,short,155,True,1051.0,0.41935483870967744,BEAR,0,155,8,0
0.5,0.7272727272727273,0.5909090909090909,0.5909090909090909,0.4090909090909091,0.6363636363636364,True,727.3181818181819,0.05685530148931555,0.27649853098861293,785.1818181818181,0.003523522403365958,-0.006035921723684223,0.004357268013724047,-0.0069157689629846955,0.004000601067134301,-4.691259865915252e-05,-0.37841587903164736,0.07131570921155655,0.01446040772224102,260063.1458863351,short,22,False,562.0,0.7727272727272727,BEAR,0,0,21,2
0.4,0.4,0.6,0.4,0.4,0.4,True,594.6,0.1300646522281274,-0.5980163363312492,1115.6,0.004429841265381684,0.030425779639657535,0.0012967084139604568,0.017243782904463288,0.001157690467457173,0.017091324943483154,0.5131602769019986,0.11650090912623412,-0.013563743101893283,1677077.1638744513,short,5,True,1122.0,0.6,BEAR,0,5,4,0
0.5176876617773943,0.47540983606557374,0.5194132873166523,0.4900776531492666,0.5220017256255393,0.5125107851596203,False,580.7446074201898,0.05496340219008154,0.03606543850485423,832.0655737704918,0.00035401427067773315,0.0018166476266952103,0.00028457044231007224,0.004128130067520067,0.00031598665318909215,0.0008887041828727334,0.2408517811543042,0.056374414357335985,0.0014110121672544428,-130922.83143783896,short,1159,False,719.0,0.6117342536669542,BEAR,50,0,80,28
0.5608695652173913,0.4434782608695652,0.5869565217391305,0.41304347826086957,0.5478260869565217,0.5347826086956522,False,745.7347826086957,0.1555326381206313,-0.34067582215741515,1051.878260869565,-0.0007451890805020777,0.011105070074190303,-0.0002446171057478666,0.013481904920493493,-0.00042943847549208665,0.0034113341653346204,0.5890166381447155,0.13489048956467825,-0.020642148555953126,2203599.4451386407,short,230,True,980.5,0.4826086956521739,BEAR,50,230,8,0
0.5115681233933161,0.46786632390745503,0.4961439588688946,0.41645244215938304,0.5115681233933161,0.5424164524421594,True,692.508997429306,0.02345195079748522,0.046211412918822976,691.0719794344473,0.0005403741866328149,0.0020805119646016943,0.0013179702398983973,0.004015126478682035,0.0002498973566475045,0.0008363626355600908,-0.3510907990868646,0.021397838803508085,-0.002054111993977132,53635.588038654125,short,389,False,595.0,0.6632390745501285,BEAR,50,0,58,24
0.36363636363636365,0.5151515151515151,0.3939393939393939,0.5151515151515151,0.3939393939393939,0.45454545454545453,True,692.969696969697,0.09319017178152113,-0.31090873785345696,725.3636363636364,0.0022302142880886926,0.009757782728179967,0.005303648521747587,0.004140249262065371,0.0017232121350207884,0.006852109223442307,0.5682127801725333,0.07723898881375217,-0.015951182967768963,1960289.323719682,short,33,True,595.0,0.6060606060606061,BEAR,50,33,6,0
0.5110584518167457,0.4755134281200632,0.5086887835703001,0.4731437598736177,0.5213270142180095,0.5173775671406003,False,11207.617693522907,0.8544194983666256,-0.6124386350872825,10254.327804107425,0.0002490778162818005,0.002536196397332205,0.0005964762569706405,0.006729548773073872,0.00016182727228512996,0.00047879899707719084,0.31450171079028333,0.44010796617458287,-0.41431153219204253,-132386.92161699227,long,1266,False,8892.0,0.3854660347551343,BULL,0,0,20,50
0.5122749590834698,0.44844517184942717,0.5155482815057283,0.4664484451718494,0.5106382978723404,0.4844517184942717,False,10394.057283142389,0.4763657735791661,0.005334829232058548,10960.196399345336,6.53573608344579e-06,0.0032791963701646817,-1.3745468304571604e-05,0.004789273555529965,0.00017890183927301797,0.0009529759428959445,0.6071142957032394,0.4743619562793393,-0.002003817299826673,1219145.496586266,long,611,True,10825.0,0.5875613747954174,BULL,0,611,4,0
0.578125,0.53125,0.515625,0.5625,0.515625,0.6875,True,8063.953125,0.5933018534706112,-0.3783170106215282,9314.609375,-0.0006524333416541607,-0.0043443793936612934,-0.0021340308606854173,0.0025828071522312618,0.0006287024759283385,-0.0060329988075968535,0.24607777144897539,0.32651187139779225,-0.2667899820728189,32163.345018514927,long,64,False,8857.0,0.5,BULL,0,0,18,4
0.5357142857142857,0.5714285714285714,0.6428571428571429,0.5714285714285714,0.5714285714285714,0.5714285714285714,True,9804.857142857143,0.4990323984339677,0.09440980889918456,9759.607142857143,-0.0007967882261685448,-0.0056218735354748904,-0.0023002386985547874,-0.0053081064005467615,-0.0003274896674943517,-0.003493984554738479,0.6417254182469092,0.5283249100942549,0.029292511660287204,1219145.496586266,long,28,True,11445.0,0.6785714285714286,BULL,0,28,4,0
0.46595982142857145,0.45870535714285715,0.5066964285714286,0.49386160714285715,0.46484375,0.5050223214285714,False,10898.020089285714,0.7727524268926754,-0.4653492860853702,9508.25111607143,0.0007935226581428917,0.0029934125891288824,0.0005843776774936651,0.0050838721699191115,0.0005410065551926811,0.00029060109900475,0.26923527579621914,0.43120905674007887,-0.34154337015259667,-137558.39061837917,long,1792,False,8368.0,0.4525669642857143,BULL,50,0,21,55
0.47536617842876167,0.4766977363515313,0.4647137150466045,0.511318242343542,0.4394141145139814,0.45006657789613846,False,10561.545938748335,0.48600805199220704,-0.029753471441185706,11043.454061251665,0.0006995017336006308,0.0034399664081915453,0.0010059992663480166,0.004588545021040874,0.0007087448152745834,0.0018517612980086587,0.5950416892377691,0.4740860562192182,-0.011921995772988777,1219145.496586266,long,751,True,10953.0,0.5832223701731025,BULL,50,751,4,0
0.5120828538550057,0.5362485615650172,0.5120828538550057,0.5040276179516686,0.48791714614499426,0.5270425776754891,True,9452.751438434983,0.557718361456131,-0.4105010478693019,8619.490218642117,0.00020555870908210878,0.00025573612613867877,0.0005252983100541624,0.0023456729990531233,-4.278338521854631e-05,0.0009423320625280567,-0.11754736463165039,0.25852824336613045,-0.2991901180900005,-165998.54824173052,long,869,False,7242.0,0.5891829689298044,BULL,50,0,22,24
