avg_bars_held,daily_context,dd_improve_rel,delta_avg_bars_held,delta_full,delta_giveback_to_loss_6_count,delta_mfe_capture_avg,delta_oos,delta_roll12,engulf_style,engulf_volume_ratio,exited_base_loser_pnl,exited_base_pnl,exited_base_winner_pnl,exits,full_dd,full_return,giveback_to_loss_6_count,giveback_to_loss_6_pnl,macd_tf,mfe_capture_avg,oi_threshold,oos_return,pass_gate,rolling12_min,sequence_macd_tf,sequence_window_bars,top20_winner_exited_pnl,top20_winner_exits,trades,unique_base_trades_exited,use_2h_wick,variant,wick_shadow_ratio,wick_volume_ratio,worst20_loser_exited_pnl,worst20_loser_exits,year_flat,year_losses,year_min_delta,year_wins
2040.6906779661017,False,0.04421878271283755,-197.74152542372894,-320.6638519993289,0,-0.0009141404251098995,0.13456417723547442,-0.006561237862193314,strict,2.0,0.0,511797.47243397316,511797.47243397316,6,-0.48857327335935363,102.18648490111465,17,-89340.87993750337,4h,0.35226808524276537,,6.4317275691732165,True,0.03338681249461528,,0,289292.0533968997,1,236,6,False,1h_strict_engulf_v2p0_macd4h,0.75,1.5,0.0,0,4,2,-1.6449044089361804,2
2231.2754237288136,False,2.171895950509738e-16,-7.156779661017026,34.8162399721503,0,0.005111787521520472,0.08460755638203565,0.0,,1.5,0.0,28969.195880968797,28969.195880968797,2,-0.5111768933334905,457.6665768725939,17,-385637.031682714,2h,0.35829401318939574,,6.381770948319778,True,0.039948050356808595,,0,0.0,0,236,2,True,2h_wick_r75_v1p5_macd2h,0.75,1.5,0.0,0,6,0,0.0,2
2235.75,False,0.0,-2.682203389830647,4.914367316547953,0,0.0028068320944197866,0.08460755638203565,0.0,,1.5,0.0,26850.177959806402,26850.177959806402,1,-0.5111768933334906,427.76470421699156,17,-360499.5971078882,2h,0.35598905776229506,,6.381770948319778,True,0.039948050356808595,,0,0.0,0,236,1,True,2h_wick_r75_v2p0_macd2h,0.75,2.0,0.0,0,7,0,0.0,1
2106.0508474576272,False,0.0,-132.3813559322034,-189.9756631801348,0,0.0018154228307322717,0.0744315288665982,0.0,,1.5,0.0,219570.79702324027,219570.79702324027,3,-0.5111768933334906,232.8746737203088,17,-197314.1441734406,,0.35499764849860754,,6.37159492080434,True,0.039948050356808595,4h,144,131352.1926257087,1,236,3,True,2h_wick_r75_v2p0_then_macd4h_12h,0.75,2.0,0.0,0,4,2,-1.3302263382038149,2
2229.4830508474574,False,0.0,-8.949152542373213,58.29963196410216,0,0.0026879410176058327,0.0,0.0,,1.5,0.0,131352.1926257087,131352.1926257087,1,-0.5111768933334906,481.14996886454577,17,-401876.76468008256,4h,0.3558701666854811,,6.297163391937742,True,0.039948050356808595,,0,131352.1926257087,1,236,1,True,2h_wick_r75_v1p5_macd4h,0.75,1.5,0.0,0,7,0,0.0,1
2229.4830508474574,False,0.0,-8.949152542373213,58.29963196410216,0,0.0026879410176058327,0.0,0.0,,1.5,0.0,131352.1926257087,131352.1926257087,1,-0.5111768933334906,481.14996886454577,17,-401876.76468008256,4h,0.3558701666854811,,6.297163391937742,True,0.039948050356808595,,0,131352.1926257087,1,236,1,True,2h_wick_r75_v2p0_macd4h,0.75,2.0,0.0,0,7,0,0.0,1
2229.4830508474574,False,0.0,-8.949152542373213,58.29963196410216,0,0.0026879410176058327,0.0,0.0,,1.5,0.0,131352.1926257087,131352.1926257087,1,-0.5111768933334906,481.14996886454577,17,-401876.76468008256,4h,0.3558701666854811,,6.297163391937742,True,0.039948050356808595,,0,131352.1926257087,1,236,1,True,2h_wick_r85_v1p5_macd4h,0.85,1.5,0.0,0,7,0,0.0,1
2229.4830508474574,False,0.0,-8.949152542373213,58.29963196410216,0,0.0026879410176058327,0.0,0.0,,1.5,0.0,131352.1926257087,131352.1926257087,1,-0.5111768933334906,481.14996886454577,17,-401876.76468008256,,0.3558701666854811,,6.297163391937742,True,0.039948050356808595,4h,144,131352.1926257087,1,236,1,True,2h_wick_r85_v1p5_then_macd4h_12h,0.85,1.5,0.0,0,7,0,0.0,1
2229.4830508474574,False,0.0,-8.949152542373213,58.29963196410216,0,0.0026879410176058327,0.0,0.0,,1.5,0.0,131352.1926257087,131352.1926257087,1,-0.5111768933334906,481.14996886454577,17,-401876.76468008256,4h,0.3558701666854811,,6.297163391937742,True,0.039948050356808595,,0,131352.1926257087,1,236,1,True,2h_wick_r85_v2p0_macd4h,0.85,2.0,0.0,0,7,0,0.0,1
2229.4830508474574,False,0.0,-8.949152542373213,58.29963196410216,0,0.0026879410176058327,0.0,0.0,,1.5,0.0,131352.1926257087,131352.1926257087,1,-0.5111768933334906,481.14996886454577,17,-401876.76468008256,,0.3558701666854811,,6.297163391937742,True,0.039948050356808595,4h,144,131352.1926257087,1,236,1,True,2h_wick_r85_v2p0_then_macd4h_12h,0.85,2.0,0.0,0,7,0,0.0,1
