dd_delta_vs_baseline,fee10_oos_delta_vs_baseline,fib_block_N,flat_years,hurt_top20,missed_profit_sum,negative_years,normalized_net_action_value,oos_delta_vs_baseline,parameter_set,positive_years,raw_full_return,raw_max_dd,raw_oos_return,raw_rolling12_min,raw_trade_count,rescued_worst20,rolling12_delta_vs_baseline,saved_loss_sum,saved_loss_to_missed_profit_ratio,timesfm_blocks,timesfm_full_return,timesfm_max_dd,timesfm_oos_return,timesfm_rolling12_min,timesfm_trade_count,variant,verdict
,,0,,0,,,0.0,0.0,control,,257.6869620223009,-0.5398325629895024,5.017063290190917,-0.279645770058051,246,0,0.0,,0.0,25,570.4276704250137,-0.4355499247772032,5.815461519009869,-0.1993096124804481,221,baseline_bb_timesfm,BASELINE
,,0,,0,,,0.0,-0.9273585488034879,control,,202.04796774839494,-0.5398325629895024,4.198340293180894,-0.30639618508079947,247,0,-0.07781571456283354,,0.0,25,447.52367621448246,-0.43197019842132955,4.888102970206381,-0.27712532704328163,222,no_bollinger_raw,CONTROL
-0.005890911213768613,0.0848099716940256,45,0,8,4.2578315535914895,7,-2.714295865574319,-0.023762303289266207,"{""fib_lookback"": 375, ""max"": 1.618, ""min"": 1.0}",0,35.75183126703296,-0.5171391975272528,4.996084625369263,-0.36956650224438925,202,4,-0.07658376630359887,1.5435356880171704,0.36251685126321986,21,66.578447836928,-0.44144083599097184,5.791699215720603,-0.27589337878404696,181,fib_ext_1p000_1p618,REJECT
-0.005890911213768724,-0.10648992298272653,50,0,8,4.2919914333907245,8,-2.613214027414191,-0.24541872490973482,"{""fib_lookback"": 375, ""max"": 1.382, ""min"": 1.0}",0,39.92550539287014,-0.517139197527253,4.799104223253274,-0.3695665022443898,197,5,-0.07142347319068398,1.6787774059765324,0.3911418352133751,19,67.07271470790003,-0.44144083599097195,5.570042794100134,-0.2707330856711321,178,fib_ext_1p000_1p382,REJECT
-0.005890911213768502,-1.085893164648179,55,0,9,4.5641439042001615,8,-2.684931938476011,-1.328280749346959,"{""fib_lookback"": 375, ""max"": 1.236, ""min"": 1.0}",0,38.542726014197044,-0.5171391975272531,3.8841835868531156,-0.3695665022443898,192,6,-0.07142347319068387,1.87921196572415,0.4117337238194444,18,64.22222772593567,-0.4414408359909717,4.48718076966291,-0.27073308567113197,174,fib_ext_1p000_1p236,REJECT
0.21475114240479254,-4.834064625356823,237,0,19,13.238875385244524,8,-7.954790986603633,-5.577722231602023,"{""fib_lookback"": 375, ""max"": 1.618, ""min"": 1.236}",0,-0.07057921970685743,-0.2953023564537878,0.22765340793271527,-0.20957306693232114,10,18,-0.010263454451873044,5.284084398640893,0.39913393282108417,3,0.03612602931769038,-0.22079878237241068,0.23773928740784567,-0.20957306693232114,7,fib_ext_1p236_1p618,REJECT
0.003579726355873669,-0.8301018723189024,0,0,0,0.0,0,0.0,-0.9273585488034879,"{""fib_lookback"": 375, ""max"": 1.618, ""min"": 0.0}",0,202.04796774839494,-0.5398325629895024,4.198340293180894,-0.30639618508079947,247,0,-0.07781571456283354,0.0,0.0,25,447.52367621448246,-0.43197019842132955,4.888102970206381,-0.27712532704328163,222,fib_not_over_1p618,REJECT
